3
12
['7', '19']
['1', '20']
['1', '4']
['0', '23']
['14', '3']
['1', '22']
['0', '21']
['19', '2']
['17', '2']
['1', '15']
['4', '16']
['1', '18']
['1', '13']
['8', '20']
['0', '14']
['1', '11']
['0', '24']
['0', '19']
['6', '18']
['0', '10']
['0', '6']
['1', '3']
['1', '6']
['10', '22']
['0', '2']
['22', '2']
['15', '4']
['16', '2']
['1', '23']
['5', '17']
['1', '25']
['1', '24']
['24', '2']
['1', '5']
['25', '2']
['0', '9']
['0', '17']
['1', '21']
['1', '7']
['0', '22']
['21', '2']
['1', '12']
['2', '14']
['0', '8']
['1', '8']
['0', '7']
['11', '23']
['3', '15']
['1', '2']
['1', '14']
['12', '24']
['0', '3']
['0', '12']
['23', '2']
['1', '9']
['0', '25']
['0', '11']
['1', '10']
['1', '16']
['18', '2']
['9', '21']
['0', '16']
['0', '13']
['13', '25']
['0', '18']
['0', '15']
['0', '5']
['20', '2']
['0', '20']
['1', '19']
['1', '17']
['0', '4']
