['119', '72', '936', '982', '62', '165', '856', '123', '632', '931', '105', '794', '172', '370', '732', '891', '588', '284', '926', '252', '880', '730', '649', '255', '864', '657', '565', '43', '425', '698', '677']
['139', '394', '288', '37', '71', '134', '779', '378', '847', '533', '382', '508', '855', '368', '440', '110', '39', '64', '26', '23', '194', '514', '903', '216', '330', '58', '648', '76', '477', '787', '522']
['152', '509', '722', '597', '258', '496', '777', '737', '95', '998', '631', '667', '445', '462', '469', '977', '967', '451', '845', '505', '793', '704', '285', '902', '299', '792', '733', '10', '163', '34', '687']
['223', '101', '111', '63', '81', '246', '493']
['233', '940', '569', '132', '65', '515', '388', '266', '485', '181', '113', '452', '390', '785', '681', '826', '951', '627', '369', '531', '491', '235', '765', '397', '654', '367', '753', '875', '559', '460', '52']
['245', '766', '149', '709', '745', '9', '237', '414', '90', '219', '988', '874', '616', '701', '416', '795', '725', '295', '385', '743', '347', '836', '738', '545', '30', '762', '693', '746', '895', '947', '685']
['29', '356', '673', '980', '192', '600', '209', '689', '127', '763', '650', '806', '3', '158', '333', '803', '89', '906', '238', '358', '771', '747', '100', '380', '697', '12', '470', '275', '953', '257', '335']
['291', '997', '183', '691', '218', '38', '379', '478', '116', '622', '586', '5', '814', '791', '293', '898', '690', '199', '232', '682', '456', '343', '91', '674', '915', '185', '929', '872', '483', '552', '339']
['304', '750', '337', '270', '213', '357', '167', '56', '465', '849', '692', '711', '473', '484', '775', '179', '315', '186', '166', '117', '573', '708', '260', '807', '66', '595', '960', '536', '729', '780', '313']
['345', '353', '873', '647', '314', '479', '525', '226', '424', '253', '468', '859', '28', '878', '48', '17', '825', '99', '783', '751', '61', '50', '375', '443', '871', '735', '104', '151', '403', '541', '135']
['395', '799', '120', '429', '684', '461', '776', '720', '666', '897', '510', '386', '896', '757', '303', '154', '341', '311', '614', '173', '642', '700', '860', '705', '142', '125', '69', '983', '830', '608', '699']
['396', '74', '400', '256', '22', '574', '590', '579', '276', '954', '371', '866', '707', '644', '354', '557', '946', '723', '767', '322', '437', '492', '161', '197', '900', '160', '49', '857', '41', '645', '989']
['413', '410', '442', '174', '302', '917', '854', '834', '544', '475', '392', '913', '130', '240', '249', '571', '526', '453', '306', '309', '808', '889', '14', '279', '471', '264', '360', '809', '658', '248', '145']
['426', '592', '734', '106', '867', '788', '948', '646', '417', '436', '195', '68', '198', '513', '551', '244', '618', '57', '710', '969', '974', '893', '752', '703', '44', '662', '817', '241', '474', '945', '329']
['486', '157', '405', '879', '408', '84', '521', '602', '446', '464', '352', '439', '605', '881', '80', '675', '554', '399', '760', '577', '914', '211', '560', '971', '46', '359', '715', '31', '316', '21', '784']
['497', '138', '507', '680', '351', '655', '572', '318', '695', '83', '824', '297', '131', '603', '169', '742', '383', '420', '991', '887', '107', '524', '444', '212', '842', '277', '269', '584', '384', '852', '770']
['535', '773', '319', '596', '800', '774', '224', '927', '487', '463', '688', '598', '610', '606', '247', '612', '678', '332', '422', '822', '713', '19', '239', '448', '449', '427', '323', '679', '532', '804', '327']
