['1', '386', '155', '597', '414', '718']
['106', '464', '231', '332', '600', '130']
['107', '547', '320', '132', '287', '45']
['114', '621', '681', '603', '461', '21']
['118', '285', '479', '476', '717', '578']
['12', '79', '327', '326', '356', '353']
['124', '574', '495', '176', '228', '436']
['142', '279', '310', '24', '384', '576']
['150', '269', '497', '625', '284', '563']
['153', '296', '698', '200', '498', '137']
['158', '341', '354', '456', '330', '63']
['168', '473', '521', '389', '49', '706']
['169', '478', '658', '626', '136', '75']
['17', '477', '177', '422', '548', '128']
['170', '125', '685', '450', '648', '50']
['174', '148', '671', '561', '38', '276']
['175', '545', '582', '365', '161', '615']
['179', '314', '210', '492', '13', '481']
['18', '255', '690', '687', '73', '20']
['180', '167', '663', '579', '601', '633']
['185', '391', '662', '105', '299', '282']
['191', '225', '146', '271', '703', '120']
['193', '65', '122', '643', '182', '617']
['199', '368', '491', '418', '196', '515']
['203', '446', '370', '624', '593', '410']
['205', '34', '506', '644', '116', '425']
['208', '390', '26', '525', '623', '664']
['22', '345', '297', '434', '555', '622']
['221', '686', '318', '145', '214', '447']
['233', '715', '291', '183', '46', '457']
['235', '638', '192', '164', '590', '699']
['249', '144', '256', '496', '62', '236']
['260', '266', '403', '472', '378', '412']
['265', '151', '527', '618', '537', '697']
['270', '429', '348', '440', '394', '454']
['274', '44', '573', '645', '163', '392']
['277', '402', '594', '533', '680', '139']
['294', '246', '101', '15', '367', '358']
['30', '112', '14', '379', '68', '202']
['302', '702', '591', '35', '517', '159']
['303', '111', '309', '562', '227', '8']
['305', '27', '640', '245', '404', '135']
['317', '518', '508', '361', '612', '376']
['32', '198', '25', '656', '647', '188']
['333', '452', '655', '719', '126', '474']
['335', '258', '396', '42', '186', '331']
['340', '263', '86', '190', '577', '428']
['343', '324', '347', '380', '602', '162']
['352', '604', '372', '427', '10', '695']
['355', '550', '575', '566', '634', '178']
['360', '683', '110', '523', '47', '526']
['363', '713', '206', '267', '187', '560']
['364', '424', '212', '147', '369', '40']
['37', '156', '23', '171', '257', '709']
['371', '532', '653', '307', '138', '480']
['373', '9', '98', '234', '620', '254']
['377', '359', '609', '541', '60', '338']
['383', '230', '659', '349', '433', '507']
['395', '273', '261', '489', '315', '639']
['399', '160', '415', '660', '678', '149']
['405', '131', '154', '220', '346', '127']
['407', '670', '512', '143', '672', '595']
['417', '374', '104', '393', '565', '219']
['419', '165', '323', '123', '614', '16']
['43', '242', '232', '710', '542', '650']
['439', '339', '569', '554', '430', '701']
['445', '329', '435', '568', '264', '237']
['453', '217', '259', '580', '409', '381']
['455', '470', '194', '426', '504', '316']
['458', '423', '306', '482', '103', '646']
['466', '605', '41', '679', '362', '248']
['475', '406', '649', '95', '676', '387']
['499', '94', '483', '239', '87', '117']
['505', '83', '385', '705', '411', '166']
['51', '714', '437', '716', '336', '694']
['511', '325', '281', '152', '48', '502']
['514', '272', '557', '704', '64', '631']
['516', '7', '222', '350', '529', '226']
['519', '536', '3', '471', '490', '401']
['530', '61', '334', '141', '344', '463']
['534', '289', '53', '522', '524', '85']
['535', '581', '238', '448', '567', '559']
['539', '712', '157', '636', '510', '397']
['54', '700', '119', '283', '319', '252']
['546', '121', '52', '58', '616', '184']
['57', '74', '36', '129', '444', '280']
['572', '342', '207', '469', '432', '651']
['583', '77', '642', '708', '173', '262']
['587', '443', '29', '543', '688', '375']
['588', '321', '460', '438', '607', '100']
['59', '109', '31', '540', '322', '211']
['592', '133', '667', '351', '97', '500']
['596', '301', '308', '441', '223', '216']
['6', '19', '215', '400', '564', '487']
['608', '286', '81', '613', '108', '431']
['610', '632', '668', '366', '293', '102']
['611', '181', '93', '172', '0', '251']
['619', '553', '240', '4', '197', '606']
['627', '90', '599', '538', '313', '295']
['629', '134', '2', '204', '654', '209']
['635', '229', '413', '641', '467', '311']
['652', '243', '449', '300', '691', '244']
['657', '241', '213', '275', '66', '544']
['661', '673', '503', '570', '312', '140']
['665', '589', '218', '292', '549', '442']
['669', '551', '416', '398', '468', '531']
['674', '584', '195', '494', '677', '666']
['682', '33', '84', '420', '408', '5']
['69', '513', '485', '421', '78', '247']
['693', '328', '388', '11', '28', '91']
['70', '113', '72', '278', '459', '628']
['707', '337', '486', '115', '585', '598']
['71', '39', '637', '268', '586', '488']
['711', '357', '462', '253', '298', '493']
['76', '201', '451', '484', '509', '304']
['80', '520', '290', '552', '465', '288']
['88', '67', '501', '189', '558', '55']
['89', '630', '56', '556', '96', '684']
['92', '675', '696', '224', '250', '382']
['99', '689', '82', '692', '571', '528']
