['0', '593', '461', '534', '639', '377', '561']
['102', '293', '572', '130', '133', '609', '32']
['13', '207', '57', '592', '138', '487', '341']
['135', '163', '392', '256', '171', '395', '508']
['140', '506', '17', '642', '474', '322', '209']
['146', '680', '548', '253', '638', '698', '9']
['148', '551', '550', '324', '119', '485', '591']
['152', '127', '80', '164', '201', '240', '45']
['167', '191', '261', '596', '96', '157', '345']
['172', '483', '28', '453', '560', '448', '159']
['174', '385', '194', '137', '648', '64', '656']
['183', '501', '683', '203', '264', '433', '176']
['189', '278', '236', '108', '228', '651', '254']
['192', '95', '269', '644', '600', '145', '175']
['197', '650', '338', '402', '317', '525', '414']
['208', '60', '258', '234', '188', '105', '545']
['21', '681', '585', '40', '247', '699', '626']
['213', '460', '459', '693', '155', '120', '257']
['263', '601', '195', '688', '469', '78', '25']
['265', '180', '99', '647', '132', '640', '287']
['282', '299', '5', '122', '559', '406', '62']
['292', '624', '52', '422', '231', '581', '169']
['30', '630', '153', '33', '437', '259', '604']
['305', '573', '181', '546', '531', '689', '273']
['313', '250', '142', '311', '396', '16', '547']
['315', '289', '221', '100', '415', '379', '576']
['320', '150', '441', '113', '404', '502', '266']
['332', '69', '212', '267', '584', '645', '400']
['333', '230', '363', '294', '393', '456', '82']
['357', '563', '165', '177', '162', '671', '434']
['36', '405', '170', '690', '215', '553', '381']
['360', '465', '510', '443', '156', '636', '141']
['362', '50', '514', '574', '519', '47', '552']
['364', '321', '555', '117', '451', '56', '81']
['366', '330', '160', '136', '343', '339', '352']
['37', '276', '582', '23', '426', '541', '594']
['373', '196', '252', '490', '564', '238', '470']
['374', '70', '290', '416', '590', '432', '632']
['378', '284', '526', '342', '643', '39', '18']
['384', '319', '670', '72', '1', '349', '303']
['389', '538', '91', '633', '295', '161', '462']
['403', '255', '367', '419', '44', '279', '471']
['409', '371', '260', '73', '500', '579', '520']
['413', '306', '557', '3', '464', '118', '598']
['42', '575', '468', '452', '649', '4', '12']
['420', '74', '327', '537', '104', '185', '283']
['421', '578', '186', '272', '544', '554', '523']
['423', '126', '239', '425', '129', '134', '116']
['429', '410', '347', '225', '274', '583', '527']
['430', '446', '75', '351', '232', '458', '407']
['431', '676', '629', '149', '613', '635', '217']
['436', '654', '634', '214', '375', '518', '542']
['440', '38', '435', '84', '246', '48', '198']
['442', '275', '6', '205', '666', '262', '530']
['476', '26', '335', '540', '686', '329', '494']
['489', '587', '222', '498', '58', '463', '280']
['49', '449', '568', '285', '304', '515', '328']
['491', '358', '241', '65', '83', '390', '245']
['497', '365', '637', '447', '166', '571', '326']
['503', '663', '325', '211', '376', '19', '408']
['505', '77', '51', '109', '475', '219', '115']
['517', '131', '124', '660', '14', '331', '218']
['521', '29', '615', '397', '535', '90', '97']
['522', '428', '631', '281', '438', '696', '556']
['53', '27', '334', '344', '610', '687', '444']
['532', '372', '356', '691', '121', '570', '417']
['533', '611', '103', '144', '309', '580', '493']
['536', '652', '71', '312', '10', '46', '621']
['539', '504', '355', '480', '623', '206', '399']
['54', '673', '251', '318', '307', '288', '387']
['562', '107', '684', '301', '92', '361', '22']
['567', '277', '529', '308', '488', '187', '268']
['569', '184', '383', '111', '93', '359', '101']
['59', '41', '394', '481', '248', '242', '271']
['608', '243', '229', '620', '472', '179', '513']
['61', '695', '11', '15', '24', '249', '618']
['612', '467', '106', '614', '128', '566', '314']
['625', '677', '204', '8', '669', '479', '147']
['646', '316', '173', '398', '661', '641', '139']
['653', '226', '291', '482', '386', '388', '350']
['657', '235', '168', '224', '427', '190', '34']
['659', '182', '616', '297', '628', '454', '233']
['662', '67', '622', '486', '346', '558', '549']
['665', '697', '55', '382', '210', '340', '445']
['667', '370', '98', '302', '509', '200', '199']
['672', '478', '679', '112', '223', '35', '627']
['674', '418', '484', '348', '337', '158', '457']
['678', '202', '298', '589', '300', '466', '143']
['68', '43', '492', '66', '543', '424', '369']
['682', '336', '586', '20', '685', '675', '588']
['692', '401', '193', '412', '323', '216', '599']
['7', '354', '151', '391', '658', '244', '565']
['76', '511', '31', '123', '310', '473', '296']
['79', '178', '507', '154', '516', '499', '655']
['85', '353', '380', '368', '664', '227', '270']
['86', '455', '619', '617', '496', '125', '607']
['87', '694', '605', '577', '220', '602', '528']
['88', '603', '110', '597', '495', '477', '668']
['89', '2', '606', '524', '286', '63', '237']
['94', '411', '114', '450', '439', '512', '595']
