['10', '844', '41', '8', '200', '410', '211', '772', '566', '341', '97', '269', '693', '394', '916', '835', '944', '923', '30', '239', '873', '707', '572', '120', '617', '32', '203', '102', '640', '912', '86', '920', '746', '558', '151', '478', '338', '909', '125', '674', '256', '467', '549', '497', '987', '240', '550', '918', '661', '457']
['107', '498', '638', '773', '31', '191', '61', '529', '488', '956', '399', '474', '948', '402', '832', '146', '358', '423', '522', '929', '506', '318', '244', '350', '870', '695', '364', '141', '454', '82', '87', '877', '509', '599', '376', '614', '150', '747', '401', '432', '896', '812', '129', '955', '657', '153', '799', '902', '710', '180']
['131', '621', '782', '100', '733', '845', '233', '476', '174', '348', '801', '314', '438', '159', '911', '63', '567', '84', '162', '602', '817', '156', '595', '491', '475', '104', '69', '21', '99', '800', '15', '711', '365', '79', '328', '709', '468', '73', '501', '667', '847', '419', '714', '827', '737', '831', '169', '492', '26', '867']
['157', '56', '5', '880', '519', '664', '342', '765', '323', '992', '859', '771', '55', '618', '274', '660', '730', '594', '273', '168', '676', '828', '537', '539', '672', '591', '809', '133', '552', '729', '238', '641', '685', '864', '984', '507', '576', '840', '527', '816', '288', '290', '665', '334', '837', '653', '582', '183', '321', '745']
['170', '293', '228', '471', '886', '81', '74', '881', '71', '289', '861', '134', '166', '759', '473', '347', '460', '779', '736', '234', '811', '952', '869', '924', '878', '7', '62', '989', '670', '979', '957', '796', '127', '603', '542', '117', '570', '363', '300', '38', '838', '494', '750', '718', '884', '963', '763', '627', '145', '440']
['177', '785', '380', '80', '23', '741', '431', '874', '389', '937', '408', '310', '547', '951', '767', '78', '619', '142', '625', '25', '986', '818', '415', '477', '524', '596', '976', '49', '144', '353', '735', '666', '248', '85', '499', '850', '743', '790', '154', '187', '700', '648', '977', '147', '395', '906', '450', '227', '833', '590']
['255', '105', '724', '523', '11', '456', '447', '875', '359', '406', '370', '223', '455', '118', '326', '218', '303', '96', '182', '208', '715', '996', '202', '958', '939', '826', '37', '760', '206', '392', '598', '344', '804', '969', '446', '9', '604', '726', '33', '44', '445', '430', '851', '179', '297', '46', '115', '559', '160', '915']
['294', '891', '895', '962', '894', '512', '848', '65', '378', '439', '994', '652', '40', '463', '304', '420', '533', '29', '116', '164', '611', '247', '309', '393', '744', '677', '384', '808', '356', '825', '320', '901', '913', '12', '557', '108', '997', '210', '510', '798', '267', '778', '98', '137', '143', '526', '241', '885', '988', '311']
['324', '496', '469', '980', '941', '287', '981', '278', '503', '662', '713', '725', '6', '645', '435', '605', '968', '112', '271', '272', '222', '960', '846', '970', '417', '340', '581', '391', '609', '64', '43', '307', '123', '361', '930', '954', '756', '887', '50', '400', '101', '903', '592', '229', '260', '313', '236', '280', '175', '343']
['329', '221', '563', '978', '520', '691', '758', '673', '485', '879', '264', '606', '514', '631', '243', '679', '853', '554', '515', '357', '72', '579', '60', '899', '422', '57', '28', '216', '51', '299', '647', '362', '413', '927', '0', '612', '907', '387', '630', '345', '797', '548', '933', '530', '791', '441', '643', '167', '171', '298']
['332', '95', '990', '624', '90', '786', '434', '257', '383', '892', '462', '636', '751', '500', '574', '777', '644', '284', '67', '119', '586', '663', '405', '802', '195', '600', '904', '620', '753', '121', '950', '521', '922', '682', '658', '934', '437', '805', '995', '678', '973', '626', '921', '128', '993', '966', '52', '540', '860', '659']
['4', '219', '564', '762', '754', '905', '58', '584', '622', '83', '301', '266', '841', '424', '333', '246', '866', '339', '373', '374', '88', '285', '14', '560', '830', '390', '490', '149', '593', '829', '152', '371', '461', '349', '836', '649', '822', '942', '738', '806', '508', '407', '111', '536', '774', '173', '740', '319', '161', '225']
['444', '214', '232', '821', '947', '110', '742', '276', '504', '972', '755', '538', '140', '731', '262', '381', '470', '789', '425', '991', '684', '130', '416', '982', '668', '495', '176', '998', '250', '689', '42', '252', '295', '36', '372', '126', '686', '398', '92', '45', '669', '484', '317', '610', '1', '291', '124', '24', '453', '768']
['565', '184', '868', '66', '217', '732', '608', '281', '932', '975', '705', '412', '607', '761', '721', '449', '964', '780', '900', '302', '734', '787', '936', '926', '723', '215', '325', '346', '411', '699', '983', '91', '516', '53', '237', '931', '872', '213', '770', '207', '481', '17', '172', '192', '94', '925', '194', '766', '528', '694']
['580', '35', '642', '561', '479', '683', '807', '34', '562', '702', '585', '544', '286', '305', '965', '697', '20', '588', '205', '890', '764', '270', '355', '583', '535', '505', '938', '712', '89', '675', '39', '888', '671', '487', '813', '555', '335', '856', '587', '914', '369', '283', '919', '716', '704', '336', '188', '265', '464', '928']
['613', '292', '385', '354', '543', '421', '136', '863', '122', '47', '688', '275', '534', '258', '696', '433', '949', '13', '16', '427', '788', '75', '443', '466', '77', '575', '532', '404', '414', '518', '857', '185', '633', '634', '76', '908', '68', '375', '632', '794', '974', '551', '623', '757', '113', '382', '397', '465', '308', '254']
