['102', '315', '124', '298', '579']
['103', '979', '116', '474', '155']
['106', '498', '861', '662', '64']
['109', '18', '815', '114', '128']
['111', '265', '629', '67', '32']
['112', '813', '444', '736', '491']
['113', '427', '41', '957', '280']
['119', '131', '382', '143', '568']
['121', '668', '515', '404', '4']
['13', '263', '187', '868', '72']
['130', '909', '873', '206', '804']
['133', '657', '996', '400', '593']
['140', '791', '898', '785', '425']
['148', '947', '153', '88', '15']
['150', '667', '917', '622', '646']
['154', '860', '681', '467', '77']
['156', '86', '311', '360', '712']
['165', '481', '567', '349', '923']
['166', '204', '302', '46', '261']
['182', '57', '157', '266', '436']
['19', '706', '710', '721', '455']
['194', '177', '232', '956', '158']
['2', '59', '652', '107', '171']
['20', '869', '214', '647', '398']
['201', '635', '912', '674', '880']
['202', '363', '617', '80', '894']
['205', '535', '767', '735', '6']
['215', '794', '551', '137', '58']
['216', '390', '65', '316', '536']
['217', '470', '397', '986', '403']
['218', '10', '848', '40', '224']
['22', '17', '396', '792', '507']
['226', '454', '208', '342', '370']
['227', '167', '887', '797', '921']
['228', '287', '553', '512', '932']
['229', '875', '949', '644', '859']
['231', '697', '819', '192', '686']
['234', '239', '993', '255', '669']
['249', '835', '796', '28', '399']
['251', '598', '806', '664', '555']
['252', '348', '486', '379', '452']
['270', '366', '63', '468', '772']
['275', '508', '739', '450', '638']
['276', '313', '853', '840', '906']
['277', '375', '74', '412', '351']
['279', '537', '359', '318', '259']
['281', '305', '922', '845', '784']
['288', '877', '779', '223', '240']
['289', '85', '963', '606', '199']
['292', '320', '759', '386', '823']
['294', '24', '843', '264', '916']
['295', '626', '575', '441', '866']
['296', '523', '633', '56', '650']
['31', '520', '79', '144', '337']
['312', '771', '147', '878', '985']
['328', '447', '355', '808', '309']
['336', '361', '416', '989', '672']
['341', '435', '136', '700', '381']
['343', '319', '314', '526', '701']
['350', '631', '680', '578', '637']
['352', '734', '816', '708', '513']
['356', '938', '822', '108', '325']
['357', '777', '937', '52', '935']
['36', '317', '747', '426', '665']
['371', '525', '35', '11', '557']
['373', '559', '980', '45', '798']
['374', '799', '793', '151', '630']
['376', '222', '181', '189', '770']
['38', '970', '628', '968', '660']
['388', '99', '543', '448', '999']
['391', '882', '238', '972', '611']
['414', '290', '738', '678', '725']
['42', '801', '134', '534', '854']
['422', '517', '428', '89', '691']
['424', '262', '924', '545', '750']
['431', '16', '221', '383', '707']
['432', '304', '496', '591', '51']
['44', '39', '501', '3', '307']
['445', '493', '429', '365', '326']
['446', '161', '533', '834', '62']
['451', '892', '69', '758', '983']
['456', '433', '994', '411', '522']
['458', '688', '321', '942', '653']
['462', '30', '100', '724', '96']
['463', '191', '209', '443', '509']
['465', '699', '197', '494', '354']
['466', '203', '159', '190', '687']
['471', '958', '172', '185', '649']
['473', '477', '282', '308', '220']
['483', '807', '480', '242', '969']
['487', '928', '393', '838', '82']
['489', '247', '453', '423', '395']
['499', '995', '639', '135', '95']
['5', '542', '484', '118', '952']
['50', '367', '299', '641', '741']
['500', '306', '709', '673', '230']
['502', '856', '225', '438', '511']
['503', '764', '623', '782', '37']
['506', '110', '899', '257', '160']
['518', '479', '910', '207', '193']
['524', '778', '582', '783', '54']
['529', '953', '864', '164', '285']
['532', '170', '740', '895', '574']
['546', '720', '531', '198', '552']
['547', '1', '588', '757', '173']
['550', '71', '821', '982', '656']
['554', '828', '929', '332', '569']
['562', '521', '752', '362', '615']
['563', '988', '254', '34', '973']
['577', '168', '705', '991', '933']
['580', '940', '149', '874', '908']
['586', '608', '624', '642', '925']
['590', '714', '419', '516', '530']
['597', '122', '301', '323', '832']
['599', '368', '930', '235', '990']
['603', '346', '945', '723', '849']
['604', '809', '732', '14', '409']
['61', '620', '408', '879', '774']
['610', '90', '974', '561', '863']
['634', '25', '713', '789', '594']
['636', '268', '760', '836', '246']
['640', '885', '459', '527', '104']
['645', '392', '609', '244', '127']
['651', '703', '820', '83', '340']
['654', '347', '132', '23', '962']
['655', '663', '331', '870', '87']
['658', '272', '378', '183', '541']
['659', '169', '918', '93', '84']
['661', '514', '369', '490', '605']
['671', '946', '581', '742', '566']
['676', '380', '805', '291', '746']
['677', '495', '449', '814', '303']
['683', '987', '827', '387', '464']
['685', '0', '573', '8', '831']
['689', '241', '600', '911', '460']
['690', '253', '60', '570', '852']
['692', '727', '776', '817', '888']
['695', '795', '497', '12', '756']
['698', '731', '219', '607', '976']
['702', '601', '775', '755', '269']
['704', '68', '434', '565', '421']
['716', '585', '48', '753', '186']
['717', '858', '184', '329', '722']
['730', '353', '571', '211', '961']
