['a117', 'a35', 'a241', 'a256', 'a271', 'a332', 'a82', 'a123', 'a303', 'a363', 'a173', 'a8', 'a28', 'a158', 'a156', 'a128', 'a299', 'a285', 'a183', 'a91']
['a137', 'a153', 'a193', 'a350', 'a81', 'a398', 'a316', 'a127', 'a353', 'a157', 'a270', 'a325', 'a257', 'a56', 'a39', 'a84', 'a167', 'a175', 'a245', 'a180']
['a21', 'a248', 'a14', 'a196', 'a195', 'a33', 'a96', 'a198', 'a100', 'a357', 'a319', 'a135', 'a97', 'a58', 'a207', 'a396', 'a315', 'a7', 'a249', 'a322']
['a210', 'a13', 'a120', 'a145', 'a392', 'a140', 'a253', 'a354', 'a59', 'a376', 'a181', 'a386', 'a333', 'a365', 'a382', 'a44', 'a64', 'a148', 'a163', 'a194']
['a212', 'a130', 'a243', 'a391', 'a119', 'a339', 'a318', 'a118', 'a384', 'a125', 'a385', 'a70', 'a2', 'a144', 'a359', 'a338', 'a274', 'a24', 'a288', 'a54']
['a213', 'a214', 'a102', 'a147', 'a101', 'a258', 'a251', 'a261', 'a307', 'a372', 'a343', 'a129', 'a379', 'a205', 'a265', 'a262', 'a160', 'a31', 'a134', 'a6']
['a219', 'a164', 'a344', 'a86', 'a188', 'a142', 'a244', 'a139', 'a108', 'a17', 'a306', 'a399', 'a90', 'a138', 'a172', 'a80', 'a53', 'a36', 'a309', 'a169']
['a23', 'a141', 'a12', 'a264', 'a394', 'a61', 'a75', 'a76', 'a314', 'a230', 'a374', 'a246', 'a259', 'a51', 'a49', 'a272', 'a30', 'a283', 'a52', 'a92']
['a260', 'a114', 'a269', 'a232', 'a176', 'a349', 'a218', 'a133', 'a191', 'a143', 'a132', 'a378', 'a116', 'a388', 'a291', 'a293', 'a273', 'a115', 'a20', 'a377']
['a276', 'a236', 'a324', 'a312', 'a85', 'a340', 'a323', 'a313', 'a223', 'a104', 'a335', 'a302', 'a192', 'a233', 'a204', 'a166', 'a83', 'a287', 'a366', 'a126']
['a305', 'a47', 'a179', 'a29', 'a361', 'a11', 'a149', 'a146', 'a209', 'a346', 'a383', 'a69', 'a187', 'a381', 'a237', 'a99', 'a220', 'a227', 'a122', 'a165']
['a34', 'a308', 'a341', 'a79', 'a110', 'a284', 'a255', 'a46', 'a320', 'a174', 'a65', 'a95', 'a347', 'a4', 'a217', 'a22', 'a282', 'a286', 'a15', 'a200']
['a362', 'a348', 'a358', 'a10', 'a103', 'a370', 'a279', 'a67', 'a16', 'a150', 'a298', 'a178', 'a278', 'a87', 'a326', 'a177', 'a199', 'a182', 'a50', 'a289']
['a364', 'a292', 'a43', 'a310', 'a161', 'a263', 'a330', 'a281', 'a328', 'a25', 'a112', 'a334', 'a327', 'a45', 'a190', 'a154', 'a136', 'a226', 'a19', 'a254']
['a375', 'a32', 'a151', 'a27', 'a267', 'a107', 'a74', 'a225', 'a301', 'a235', 'a221', 'a1', 'a159', 'a71', 'a231', 'a266', 'a131', 'a329', 'a355', 'a66']
['a389', 'a242', 'a94', 'a124', 'a295', 'a155', 'a352', 'a393', 'a189', 'a111', 'a121', 'a317', 'a55', 'a89', 'a38', 'a201', 'a224', 'a93', 'a395', 'a337']
['a48', 'a41', 'a373', 'a294', 'a222', 'a73', 'a62', 'a72', 'a300', 'a390', 'a250', 'a202', 'a321', 'a342', 'a215', 'a277', 'a3', 'a397', 'a368', 'a268']
['a5', 'a168', 'a290', 'a280', 'a98', 'a311', 'a184', 'a234', 'a37', 'a211', 'a170', 'a88', 'a296', 'a197', 'a247', 'a239', 'a105', 'a206', 'a26', 'a68']
['a77', 'a371', 'a60', 'a186', 'a304', 'a208', 'a18', 'a351', 'a238', 'a152', 'a360', 'a63', 'a387', 'a331', 'a78', 'a240', 'a356', 'a345', 'a367', 'a109']
['a9', 'a229', 'a216', 'a42', 'a171', 'a203', 'a369', 'a297', 'a106', 'a252', 'a0', 'a113', 'a162', 'a57', 'a380', 'a275', 'a336', 'a40', 'a185', 'a228']
