['0', '30', 'A0']
['29', '1', '31']
['59', '2', '32']
['A1', 'A2', 'A3']
['A10', 'A11', 'A12']
['A13', 'A14', 'A15']
['A16', 'A17', 'A18']
['A19', 'A20', 'A21']
['A22', 'A23', 'A24']
['A25', 'A26', 'A27']
['A28', 'A29', 'A30']
['A31', 'A32', 'A33']
['A34', 'A35', 'A36']
['A37', 'A38', 'A39']
['A4', 'A5', 'A6']
['A40', 'A41', 'A42']
['A43', 'A44', 'A45']
['A46', 'A47', 'A48']
['A49', 'A50', 'A51']
['A52', 'A53', 'A54']
['A7', 'A8', 'A9']
['B1', 'C1', 'D1']
['B11', 'C11', 'D11']
['B13', 'C13', 'D13']
['B15', 'C15', 'D15']
['B17', 'C17', 'D17']
['B19', 'C19', 'D19']
['B21', 'C21', 'D21']
['B23', 'C23', 'D23']
['B25', 'C25', 'D25']
['B27', 'C27', 'D27']
['B29', 'C29', 'D29']
['B3', 'C3', 'D3']
['B31', 'C31', 'D31']
['B33', 'C33', 'D33']
['B35', 'C35', 'D35']
['B37', 'C37', 'D37']
['B39', 'C39', 'D39']
['B41', 'C41', 'D41']
['B43', 'C43', 'D43']
['B45', 'C45', 'D45']
['B47', 'C47', 'D47']
['B49', 'C49', 'D49']
['B5', 'C5', 'D5']
['B51', 'C51', 'D51']
['B53', 'C53', 'D53']
['B7', 'C7', 'D7']
['B9', 'C9', 'D9']
['C10', 'C12', 'C14']
['C16', 'C18', 'C20']
['C22', 'C24', 'C26']
['C28', 'C30', 'C32']
['C34', 'C36', 'C38']
['C4', 'C6', 'C8']
['C40', 'C42', 'C44']
['C46', 'C48', 'C50']
['C52', 'B0', 'D0']
['E0', 'E1', 'E2']
['E12', 'E13', 'E14']
['E15', 'E16', 'E17']
['E18', 'E19', 'E20']
['E21', 'E22', 'E23']
['E24', 'E25', 'E26']
['E27', 'E28', 'E29']
['E3', 'E4', 'E5']
['E30', 'E31', 'E32']
['E33', 'E34', 'E35']
['E36', 'E37', 'E38']
['E39', 'E40', 'E41']
['E42', 'E43', 'E44']
['E45', 'E46', 'E47']
['E48', 'E49', 'E50']
['E51', 'E52', 'E53']
['E54', 'C0', 'C2']
['E6', 'E7', 'E8']
['E9', 'E10', 'E11']
['F0', 'G0', 'F1']
['F10', 'G10', 'H10']
['F11', 'G11', 'F12']
['F16', 'G16', 'H16']
['F17', 'G17', 'F18']
['F22', 'G22', 'H22']
['F23', 'G23', 'F24']
['F28', 'G28', 'H28']
['F29', 'G29', 'F30']
['F34', 'G34', 'H34']
['F35', 'G35', 'F36']
['F4', 'G4', 'H4']
['F40', 'G40', 'H40']
['F41', 'G41', 'F42']
['F45', '3', '33']
['F46', '4', '34']
['F47', '5', '35']
['F48', '6', '36']
['F49', '7', '37']
['F5', 'G5', 'F6']
['F50', '8', '38']
['F51', '9', '39']
['F52', '10', '40']
['F53', '11', '41']
['F54', '12', '42']
['G1', 'F2', 'G2']
['G12', 'H12', 'F13']
['G13', 'F14', 'G14']
['G18', 'H18', 'F19']
['G19', 'F20', 'G20']
['G24', 'H24', 'F25']
['G25', 'F26', 'G26']
['G30', 'H30', 'F31']
['G31', 'F32', 'G32']
['G36', 'H36', 'F37']
['G37', 'F38', 'G38']
['G42', 'H42', 'F43']
['G43', 'F44', '13']
['G44', '43', '14']
['G45', '44', '15']
['G46', '45', '16']
['G47', '46', '17']
['G48', '47', '18']
['G49', '48', '19']
['G50', '49', '20']
['G51', '50', '21']
['G52', '51', '22']
['G53', '52', '23']
['G54', '53', '24']
['G6', 'H6', 'F7']
['G7', 'F8', 'G8']
['H1', 'B2', 'D2']
['H11', 'B12', 'D12']
['H13', 'B14', 'D14']
['H14', 'F15', 'G15']
['H15', 'B16', 'D16']
['H17', 'B18', 'D18']
['H19', 'B20', 'D20']
['H2', 'F3', 'G3']
['H20', 'F21', 'G21']
['H21', 'B22', 'D22']
['H23', 'B24', 'D24']
['H25', 'B26', 'D26']
['H26', 'F27', 'G27']
['H27', 'B28', 'D28']
['H29', 'B30', 'D30']
['H3', 'B4', 'D4']
['H31', 'B32', 'D32']
['H32', 'F33', 'G33']
['H33', 'B34', 'D34']
['H35', 'B36', 'D36']
['H37', 'B38', 'D38']
['H38', 'F39', 'G39']
['H39', 'B40', 'D40']
['H41', 'B42', 'D42']
['H43', 'B44', 'D44']
['H44', '54', '25']
['H45', 'B46', 'D46']
['H46', '55', '26']
['H47', 'B48', 'D48']
['H48', '56', 'C54']
['H49', 'B50', 'D50']
['H5', 'B6', 'D6']
['H50', '27', '57']
['H51', 'B52', 'D52']
['H52', 'H0', '28']
['H53', 'B54', 'D54']
['H54', '58']
['H7', 'B8', 'D8']
['H8', 'F9', 'G9']
['H9', 'B10', 'D10']
