['1', '4', '22', '8', '6', '7', '14', '26', '29', '3', '16']
['101', '107', '72', '82', '105', '78', '73', '91', '98', '93', '104']
['103', '75', '67', '64', '45', '52', '77', '46', '53', '81', '109']
['112', '134', '155', '156', '125', '132', '141', '108', '137', '136', '149']
['116', '121', '131', '84', '160', '169', '171', '146', '150', '106', '127']
['117', '51', '88', '94', '97', '110', '95', '111', '71', '85', '113']
['126', '138', '92', '130', '124', '129', '114', '115', '122', '119', '120']
['128', '154', '118', '135', '140', '158', '123', '147', '151', '181', '185']
['164', '145', '173', '178', '163', '170', '148', '153', '157', '162', '172']
['18', '24', '15', '23', '33', '34', '47', '2', '9', '13', '31']
['182', '184', '197', '179', '183', '168', '142', '166', '175', '167', '187']
['191', '196', '201', '202', '174', '199', '194', '200', '208', '159', '189']
['192', '210', '180', '205', '176', '209', '214', '215', '233', '190', '188']
['198', '165', '177', '139', '152', '204', '133', '143', '144', '161', '207']
['20', '55', '10', '17', '43', '49', '42', '32', '56', '0', '12']
['206', '213', '203', '193', '195', '186', '229', '211', '225', '230', '253']
['212', '216', '224', '236', '237', '239', '246', '219', '218', '220', '226']
['234', '251', '232', '275', '222', '227', '245', '263', '217', '223', '228']
['241', '256', '260', '274', '288', '282', '231', '247', '254', '278', '261']
['244', '243', '252', '221', '259', '235', '242', '238', '281', '240', '277']
['248', '250', '257', '273', '284', '255', '272', '287', '265', '266', '268']
['283', '249', '264', '267', '258', '269', '292', '302', '271', '289', '279']
['291', '285', '294', '262', '293', '280', '286', '295', '270', '276', '306']
['299', '317', '330', '311', '300', '315', '322', '308', '316', '314', '323']
['307', '310', '297', '331', '304', '312', '296', '298', '305', '303', '290']
['320', '349', '359', '319', '332', '335', '346', '340', '339', '355', '344']
['333', '318', '337', '321', '328', '329', '327', '301', '313', '309', '326']
['336', '338', '325', '341', '342', '347', '324', '357', '334', '345', '348']
['353', '354', '367', '364', '350', '363', '376', '371', '372', '373', '352']
['360', '369', '377', '387', '365', '368', '379', '356', '358', '361', '370']
['375', '343', '401', '374', '392', '362', '366', '381', '385', '388', '384']
['38', '66', '30', '57', '25', '11', '35', '68', '19', '28', '37']
['386', '400', '383', '405', '399', '402', '406', '408', '407', '394', '396']
['39', '41', '54', '79', '21', '36', '40', '50', '60', '27', '48']
['397', '409', '412', '420', '403', '417', '414', '423', '415', '419', '435']
['398', '378', '380', '393', '382', '390', '404', '389', '391', '395', '411']
['413', '410', '425', '426', '429', '437', '439', '424', '432', '434', '422']
['436', '448', '428', '444', '452', '431', '442', '441', '453', '455', '449']
['450', '467', '351', '416', '421', '418', '440', '430', '427', '433', '443']
['486', '447', '438', '445', '451', '454', '446', '458', '459', '469', '456']
['490', '463', '466', '461', '457', '460', '465', '478', '464', '470', '462']
['492', '475', '477', '471', '473', '468', '481', '487', '472', '476', '479']
['494', '480', '474', '485', '483', '482', '484', '488', '489', '491', '493']
['495']
['496']
['497']
['498']
['499']
['58', '70', '80', '5', '63', '59', '44', '61', '100', '62', '96']
['76', '102', '87', '89', '90', '69', '65', '74', '83', '86', '99']
