['142', '144', '148', '149', '158', '169', '157', '164', '166', '170', '160', '167', '185', '175', '173', '171', '178', '177', '190', '191', '198', '194', '183']
['208', '205', '207', '189', '197', '203', '202', '210', '220', '235', '216', '219', '222', '238', '244', '246', '233', '225', '239', '254', '245', '255', '260']
['240', '243', '257', '253', '267', '276', '251', '268', '281', '269', '284', '290', '285', '283', '291', '301', '295', '306', '307', '310', '308', '316', '313']
['335', '323', '330', '328', '338', '334', '339', '347', '345', '362', '356', '361', '352', '350', '374', '365', '369', '388', '390', '394', '395', '399', '409']
['37', '45', '61', '56', '46', '33', '42', '49', '52', '58', '70', '48', '51', '59', '57', '53', '60', '54', '75', '63', '84', '68', '69']
['4', '5', '11', '19', '8', '17', '12', '14', '13', '6', '25', '22', '16', '31', '41', '18', '32', '23', '29', '36', '40', '55', '20']
['407', '426', '435', '446', '445', '443', '457', '456', '462', '465', '466', '473', '3', '2', '9', '10', '7', '21', '26', '24', '43', '28', '35']
['472', '15', '27', '44', '39', '62', '38', '64', '30', '34', '47', '50', '67', '83', '73', '72', '78', '71', '79', '89', '85', '104', '91']
['474', '88', '93', '108', '110', '92', '96', '118', '125', '136', '126', '119', '113', '133', '130', '139', '135', '156', '128', '153', '138', '143', '151']
['475', '152', '147', '145', '165', '154', '162', '155', '176', '181', '172', '161', '187', '163', '159', '168', '182', '174', '180', '184', '179', '186', '196']
['476', '195', '193', '201', '188', '221', '192', '200', '199', '211', '215', '204', '218', '212', '214', '213', '234', '209', '224', '206', '223', '217', '227']
['477', '226', '232', '231', '237', '228', '229', '230', '256', '236', '247', '250', '249', '263', '248', '264', '242', '252', '259', '241', '270', '261', '258']
['478', '265', '280', '266', '278', '271', '272', '262', '275', '274', '282', '273', '279', '288', '286', '287', '296', '277', '289', '292', '300', '299', '293']
['479', '298', '294', '302', '305', '297', '309', '314', '320', '303', '318', '319', '304', '321', '317', '312', '315', '325', '324', '326', '311', '327', '332']
['480', '322', '331', '336', '333', '329', '340', '349', '354', '337', '341', '351', '342', '346', '348', '343', '355', '357', '360', '359', '344', '353', '367']
['481', '368', '363', '366', '372', '364', '358', '379', '380', '373', '375', '376', '377', '371', '378', '370', '382', '386', '385', '381', '383', '384', '389']
['482', '392', '387', '391', '401', '398', '406', '396', '397', '400', '393', '404', '403', '408', '410', '402', '413', '405', '412', '414', '411', '415', '416']
['483', '419', '422', '424', '420', '418', '421', '417', '423', '429', '427', '428', '430', '425', '431', '432', '439', '433', '438', '444', '434', '436', '441']
['484', '440', '442', '447', '437', '452', '448', '451', '449', '455', '454', '450', '453', '461', '458', '459', '460', '464', '463', '467', '468', '471', '469']
['485', '470']
['76', '65', '74', '66', '87', '80', '1', '81', '82', '107', '86', '77', '109', '90', '98', '101', '103', '95', '102', '120', '97', '94', '112']
['99', '100', '121', '117', '106', '116', '115', '114', '105', '122', '129', '111', '124', '123', '127', '146', '137', '132', '134', '131', '150', '140', '141']
