['0', '1', '6', '12', '18', '24']
['102', '108', '114', '120', '132', '138']
['116', '117', '118', '122', '123', '124']
['128', '129', '130', '136', '140', '141']
['142', '148', '160', '164', '165', '166']
['144', '145', '150', '156', '162', '168']
['149', '173', '179', '191', '197', '221']
['170', '171', '172', '176', '177', '178']
['175', '194', '223', '242', '271', '290']
['180', '186', '192', '193', '198', '204']
['184', '188', '189', '190', '196', '208']
['195', '222', '230', '243', '270', '278']
['20', '21', '22', '26', '27', '28']
['210', '216', '228', '234', '240', '241']
['211', '235', '259', '283', '307', '331']
['212', '213', '214', '218', '219', '220']
['224', '225', '226', '232', '236', '237']
['227', '239', '245', '269', '275', '287']
['238', '244', '256', '260', '261', '262']
['246', '252', '258', '264', '276', '282']
['266', '267', '268', '272', '273', '274']
['280', '284', '285', '286', '292', '304']
['288', '289', '294', '300', '306', '312']
['291', '318', '326', '339', '366', '374']
['293', '393', '7', '13', '37', '55']
['3', '30', '38', '51', '78', '86']
['305', '61', '85', '103', '109', '133']
['308', '309', '310', '314', '315', '316']
['31', '50', '79', '98', '127', '146']
['311', '151', '157', '181', '199', '205']
['317', '229', '247', '253', '277', '295']
['319', '338', '367', '386', '403', '414']
['32', '33', '34', '40', '44', '45']
['320', '321', '322', '328', '332', '333']
['323', '301', '325', '343', '349', '373']
['324', '330', '336', '337', '342', '348']
['329', '391', '421', '8', '9', '14']
['334', '340', '352', '356', '357', '358']
['335', '25', '56', '57', '62', '73']
['341', '104', '105', '110', '121', '152']
['347', '153', '158', '169', '200', '201']
['353', '206', '217', '248', '249', '254']
['354', '360', '372', '378', '384', '385']
['355', '379', '405', '427', '4', '16']
['359', '265', '296', '297', '302', '313']
['36', '42', '48', '49', '54', '60']
['362', '363', '364', '368', '369', '370']
['365', '344', '345', '350', '361', '392']
['371', '399', '409', '15', '39', '63']
['376', '380', '381', '382', '388', '400']
['377', '87', '111', '135', '159', '183']
['383', '207', '231', '255', '279', '303']
['387', '404', '415', '422', '19', '43']
['389', '327', '351', '375', '394', '423']
['390', '402', '408', '420', '426', '2']
['396', '406', '410', '411', '412', '416']
['398', '10', '58', '106', '154', '202']
['401', '250', '298', '346', '395', '397']
['407', '11', '17', '23', '41', '59']
['413', '65', '71', '89', '107', '113']
['418', '119', '137', '155', '161', '167']
['419', '417', '424', '428', '429', '430']
['425', '185', '203', '209', '215', '233']
['431', '251', '257', '263', '281', '299']
['46', '52', '64', '68', '69', '70']
['5', '29', '35', '47', '53', '77']
['66', '72', '84', '90', '96', '97']
['67', '91', '115', '139', '163', '187']
['74', '75', '76', '80', '81', '82']
['83', '95', '101', '125', '131', '143']
['88', '92', '93', '94', '100', '112']
['99', '126', '134', '147', '174', '182']
