['0', '1', '2', '3', '4', '250', '300', '350', '400', '450', '5', '251']
['120', '121', '123', '126', '128', '132', '133', '137', '138', '139', '140', '144']
['146', '147', '148', '151', '154', '155', '157', '158', '159', '167', '168', '171']
['172', '174', '175', '176', '178', '179', '180', '183', '187', '188', '190', '192']
['195', '196', '198', '199', '200', '215', '216', '219', '227', '229', '232', '234']
['236', '238', '239', '404', '305', '408', '23', '271', '371', '422', '27', '377']
['24', '270', '320', '370', '420', '470', '25', '321', '421', '471', '26', '272']
['240', '428', '379', '280', '35', '281', '36', '482', '433', '38', '384', '435']
['241', '336', '42', '338', '439', '290', '491', '46', '492', '294', '345', '495']
['242', '397', '447', '348', '398', '448', '50', '52', '58', '61', '66', '68']
['243', '70', '71', '73', '75', '79', '81', '82', '84', '85', '86', '90']
['244', '94', '97', '100', '103', '106', '108', '111', '115', '116', '117', '118']
['245', '119', '122', '124', '125', '127', '129', '130', '131', '134', '135', '136']
['246', '141', '142', '143', '145', '149', '150', '152', '153', '156', '160', '161']
['247', '162', '163', '164', '165', '166', '169', '170', '173', '177', '181', '182']
['248', '184', '185', '186', '189', '191', '193', '194', '197', '201', '202', '203']
['249', '204', '205', '206', '207', '208', '209', '210', '211', '212', '213', '214']
['289', '339', '389', '489', '44', '340', '390', '440', '490', '45', '291', '341']
['299', '217', '218', '220', '221', '222', '223', '224', '225', '226', '228', '230']
['301', '351', '401', '451', '6', '252', '302', '352', '402', '452', '7', '253']
['303', '353', '403', '453', '8', '254', '304', '354', '454', '9', '255', '355']
['322', '372', '472', '273', '323', '373', '423', '473', '28', '274', '324', '374']
['33', '279', '329', '429', '479', '34', '330', '380', '430', '480', '331', '381']
['334', '434', '484', '39', '285', '335', '385', '485', '40', '286', '386', '436']
['349', '231', '233', '235', '237']
['391', '441', '292', '342', '392', '442', '47', '293', '343', '393', '443', '493']
['399']
['405', '455', '10', '256', '306', '356', '406', '456', '11', '257', '307', '357']
['407', '457', '12', '258', '308', '358', '458', '13', '259', '309', '359', '409']
['424', '474', '29', '275', '325', '375', '425', '475', '30', '276', '326', '376']
['426', '476', '31', '277', '327', '427', '477', '32', '278', '328', '378', '478']
['431', '481', '282', '332', '382', '432', '37', '283', '333', '383', '483', '284']
['446', '496', '297', '347', '497', '298', '498', '51', '53', '54', '55', '56']
['449']
['459', '14', '260', '310', '360', '410', '460', '15', '261', '311', '361', '411']
['461', '16', '262', '312', '362', '412', '462', '17', '263', '313', '363', '413']
['463', '18', '264', '314', '364', '414', '464', '19', '265', '315', '365', '415']
['465', '20', '266', '316', '366', '416', '466', '21', '267', '317', '367', '417']
['467', '22', '268', '318', '368', '418', '468', '269', '319', '369', '419', '469']
['48', '344', '394', '444', '494', '49', '295', '395', '445', '296', '346', '396']
['486', '41', '287', '337', '387', '437', '487', '288', '388', '438', '488', '43']
['499']
['57', '59', '60', '62', '63', '64', '65', '67', '69', '72', '74', '76']
['77', '78', '80', '83', '87', '88', '89', '91', '92', '93', '95', '96']
['98', '99', '101', '102', '104', '105', '107', '109', '110', '112', '113', '114']
