['0', '22', '44', '66', '88', '110', '132', '154', '176', '198', '220', '242', '264', '286', '308', '330', '352', '374', '396', '418', '440', '462']
['115', '137', '159', '181', '203', '225', '247', '269', '291', '313', '335', '357', '379', '401', '423', '445', '467', '28', '50', '72', '94', '116']
['138', '160', '182', '204', '226', '248', '270', '292', '314', '336', '358', '380', '402', '424', '446', '468', '29', '51', '73', '95', '117', '139']
['161', '183', '205', '227', '249', '271', '293', '315', '337', '359', '381', '403', '425', '447', '469', '30', '52', '74', '96', '118', '140', '162']
['184', '206', '228', '250', '272', '294', '316', '338', '360', '382', '404', '426', '448', '470', '31', '53', '75', '97', '119', '141', '163', '185']
['207', '229', '251', '273', '295', '317', '339', '361', '383', '405', '427', '449', '471', '32', '54', '76', '98', '120', '142', '164', '186', '208']
['23', '45', '67', '89', '111', '133', '155', '177', '199', '221', '243', '265', '287', '309', '331', '353', '375', '397', '419', '441', '463', '24']
['230', '252', '274', '296', '318', '340', '362', '384', '406', '428', '450', '472', '33', '55', '77', '99', '121', '143', '165', '187', '209', '231']
['253', '275', '297', '319', '341', '363', '385', '407', '429', '451', '473', '34', '56', '78', '100', '122', '144', '166', '188', '210', '232', '254']
['276', '298', '320', '342', '364', '386', '408', '430', '452', '474', '35', '57', '79', '101', '123', '145', '167', '189', '211', '233', '255', '277']
['299', '321', '343', '365', '387', '409', '431', '453', '475', '36', '58', '80', '102', '124', '146', '168', '190', '212', '234', '256', '278', '300']
['322', '344', '366', '388', '410', '432', '454', '476', '37', '59', '81', '103', '125', '147', '169', '191', '213', '235', '257', '279', '301', '323']
['345', '367', '389', '411', '433', '455', '477', '38', '60', '82', '104', '126', '148', '170', '192', '214', '236', '258', '280', '302', '324', '346']
['368', '390', '412', '434', '456', '478', '39', '61', '83', '105', '127', '149', '171', '193', '215', '237', '259', '281', '303', '325', '347', '369']
['391', '413', '435', '457', '479', '40', '62', '84', '106', '128', '150', '172', '194', '216', '238', '260', '282', '304', '326', '348', '370', '392']
['414', '436', '458', '480', '41', '63', '85', '107', '129', '151', '173', '195', '217', '239', '261', '283', '305', '327', '349', '371', '393', '415']
['437', '459', '481', '42', '64', '86', '108', '130', '152', '174', '196', '218', '240', '262', '284', '306', '328', '350', '372', '394', '416', '438']
['46', '68', '90', '112', '134', '156', '178', '200', '222', '244', '266', '288', '310', '332', '354', '376', '398', '420', '442', '464', '25', '47']
['460', '482', '43', '65', '87', '109', '131', '153', '175', '197', '219', '241', '263', '285', '307', '329', '351', '373', '395', '417', '439', '461']
['483', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21']
['69', '91', '113', '135', '157', '179', '201', '223', '245', '267', '289', '311', '333', '355', '377', '399', '421', '443', '465', '26', '48', '70']
['92', '114', '136', '158', '180', '202', '224', '246', '268', '290', '312', '334', '356', '378', '400', '422', '444', '466', '27', '49', '71', '93']
