['14', '29', '53', '65', '114', '12', '56', '60', '62', '66', '108', '11', '68', '101', '153', '33', '80', '110', '21', '22', '23', '26', '30', '59', '151']
['155', '164', '70', '77', '79', '105', '120', '17', '32', '57', '69', '74', '106', '61', '102', '109', '119', '127', '154', '160', '163', '202', '16', '35', '71']
['170', '205', '206', '250', '31', '45', '78', '158', '165', '169', '203', '207', '212', '213', '251', '37', '85', '87', '116', '123', '211', '214', '254', '256', '44']
['2', '5', '1', '3', '4', '100', '0', '6', '50', '52', '55', '7', '9', '13', '10', '104', '15', '18', '20', '51', '54', '58', '63', '103', '150']
['209', '218', '221', '265', '266', '134', '219', '257', '259', '261', '271', '83', '262', '99', '125', '263', '182', '267', '142', '177', '179', '224', '225', '228', '269']
['272', '223', '229', '230', '274', '235', '277', '181', '194', '227', '268', '197', '273', '187', '192', '232', '236', '198', '270', '275', '280', '282', '281', '276', '285']
['286', '239', '241', '242', '244', '284', '246', '294', '8', '19', '64', '25', '28', '34', '84', '174', '36', '43', '81', '152', '24', '27', '38', '49', '130']
['297', '220', '46', '48', '91', '138', '40', '94', '137', '141', '180', '184', '98', '132', '178', '39', '41', '47', '92', '93', '95', '135', '140', '133', '185']
['298', '216', '136', '139', '189', '75', '96', '97', '143', '188', '145', '234', '144', '147', '183', '226', '193', '231', '233', '279', '148', '186', '149', '190', '195']
['299', '196', '240', '243', '90', '146', '191', '238', '199', '237', '283', '278', '287', '292', '245', '247', '290', '291', '248', '293', '288', '296', '249', '289', '295']
['72', '73', '112', '122', '124', '126', '159', '162', '208', '210', '76', '111', '117', '200', '201', '252', '42', '82', '107', '115', '128', '157', '161', '166', '167']
['89', '113', '118', '156', '215', '67', '173', '176', '255', '264', '121', '131', '172', '222', '253', '258', '86', '129', '168', '175', '204', '217', '260', '88', '171']
