['ALXRH', 'BPZOY', 'CSQHY', 'NDLFM', 'XEEVL']
['ARMIC', 'YWPLR', 'YNIQG', 'CUUFQ', 'HCVBR']
['BEIFF', 'WSVIR', 'CPJBS', 'ZIJNW', 'ABYHN']
['BLHOQ', 'OMYLR', 'FSTKF', 'XNYRJ', 'CKHRK']
['BPLLS', 'EHMWV', 'WDGCR', 'IAMKK', 'UDTFQ']
['CBJEL', 'CIILB', 'VGCRP', 'UGKUC', 'IKHTD']
['CFMPM', 'GEQFC', 'QQUYY', 'PVVAV', 'SGTRH']
['CIBMR', 'QGXZJ', 'NUSHB', 'IGQNP', 'DUAEB']
['CQBIT', 'INTFC', 'WAQDW', 'LYGHF', 'SAVNS']
['CVNCZ', 'XBLXM', 'JMYIA', 'VATKD', 'DVLFX']
['DKHZJ', 'JAFZN', 'VIPLF', 'GUDYJ', 'ZYPEK']
['DVRRV', 'FBWOW', 'QAOAR', 'ENKVR', 'LCHJI']
['ECNTU', 'GJRAV', 'VGUGP', 'VQDCT', 'PQAHJ']
['EHHWX', 'RDCTS', 'APXMD', 'ZEPYJ', 'NVSYK']
['ENWEP', 'TFWCC', 'VLEXY', 'VYDDY', 'RCZHM']
['ETYTK', 'ZPTPS', 'QSVBC', 'JTHWI', 'EYFRR']
['FZQXE', 'IVZGD', 'QUECI', 'GNCHO', 'VSPLU']
['FZRBE', 'ZRVWH', 'XXFSV', 'IAADS', 'SPHAJ']
['GBGAG', 'HWSJL', 'RMUXW', 'CCNPM', 'MXMMA']
['HAXVF', 'FZBVB', 'NSTKH', 'QPVND', 'WCFRY']
['IBUGB', 'CIPCP', 'GLIPE', 'WHRVK', 'SKBJW']
['IGAXC', 'SHLYA', 'NKCOJ', 'TUSMK', 'QQXNO']
['IRAUO', 'PKBGA', 'UJHDY', 'MWVBQ', 'RWZXF']
['IZMEQ', 'CHIJG', 'WOIJX', 'BNJLP', 'QCHPG']
['JEBNF', 'FGDHQ', 'LIQGP', 'AWDBE', 'SGXHX']
['JXGHX', 'KSCIB', 'YWCZV', 'EBLCO', 'JHGWB']
['KQUJH', 'KXMSB', 'GICKM', 'DCJPL', 'XAOMD']
['KUMCW', 'PQDFC', 'XUYPR', 'CKFJL', 'HATBR']
['LBKGE', 'YBAFX', 'TTIDN', 'YQPNL', 'TVCFA']
['LPHWP', 'ZQDIP', 'FVYLB', 'JQBSO', 'OJGET']
