['109', '419', '149', '221', '476', '932', '920', '995', '986', '117', '793', '736', '770', '442', '596', '587', '860', '787', '594', '485']
['124', '571', '766', '663', '757', '898', '461', '266', '356', '726', '346', '992', '545', '733', '457', '148', '894', '537', '949', '667']
['161', '312', '801', '42', '576', '280', '741', '655', '87', '284', '723', '121', '391', '310', '115', '395', '785', '523', '487', '428']
['189', '8', '550', '852', '313', '176', '151', '575', '903', '957', '76', '204', '711', '202', '590', '466', '929', '464', '981', '472']
['190', '702', '400', '719', '582', '378', '934', '389', '501', '526', '928', '277', '229', '18', '739', '258', '830', '952', '69', '317']
['197', '241', '159', '17', '403', '912', '875', '112', '564', '228', '666', '579', '39', '660', '998', '765', '341', '873', '469', '536']
['207', '714', '316', '135', '546', '136', '808', '58', '755', '214', '449', '900', '547', '730', '982', '892', '208', '734', '955', '302']
['225', '775', '30', '987', '495', '869', '647', '83', '633', '70', '349', '371', '213', '350', '268', '626', '544', '684', '548', '278']
['235', '497', '611', '172', '489', '551', '355', '687', '672', '114', '439', '98', '738', '351', '368', '482', '68', '790', '217', '9']
['236', '416', '606', '608', '465', '156', '951', '167', '270', '914', '669', '66', '444', '506', '219', '165', '700', '585', '563', '345']
['242', '299', '696', '728', '657', '412', '102', '143', '45', '709', '513', '870', '812', '3', '910', '961', '656', '352', '525', '874']
['243', '872', '43', '293', '99', '226', '292', '365', '255', '52', '234', '994', '29', '183', '256', '61', '196', '693', '227', '324']
['249', '142', '632', '337', '397', '1', '509', '516', '347', '14', '239', '285', '126', '233', '358', '846', '306', '823', '828', '303']
['262', '232', '591', '542', '583', '532', '194', '643', '774', '64', '113', '619', '690', '839', '604', '85', '71', '146', '683', '47']
['320', '724', '510', '201', '209', '902', '298', '330', '474', '417', '54', '528', '59', '424', '254', '649', '116', '978', '969', '27']
['328', '133', '842', '215', '192', '435', '814', '858', '295', '797', '737', '309', '639', '478', '271', '701', '238', '659', '554', '380']
['329', '779', '821', '827', '921', '553', '374', '90', '305', '967', '595', '237', '175', '613', '473', '521', '673', '569', '354', '625']
['344', '514', '749', '211', '369', '105', '483', '681', '67', '448', '618', '436', '89', '245', '718', '26', '77', '789', '661', '890']
['357', '331', '307', '562', '314', '48', '450', '132', '599', '21', '507', '831', '361', '57', '519', '800', '653', '123', '637', '786']
['36', '185', '807', '484', '370', '662', '6', '518', '496', '40', '607', '38', '937', '973', '940', '273', '82', '177', '882', '776']
['388', '841', '991', '679', '366', '727', '556', '761', '731', '387', '802', '897', '878', '769', '772', '707', '762', '754', '614', '180']
['396', '989', '743', '0', '158', '924', '834', '965', '868', '935', '717', '323', '931', '881', '979', '668', '805', '499', '849', '699']
['4', '171', '10', '916', '96', '281', '31', '481', '840', '686', '291', '771', '854', '511', '593', '200', '335', '155', '383', '91']
['407', '815', '557', '283', '420', '863', '926', '612', '446', '173', '458', '904', '713', '492', '297', '364', '985', '549', '915', '92']
['422', '477', '665', '101', '968', '459', '580', '694', '803', '363', '999', '678', '533', '767', '524', '294', '627', '223', '327', '602']
['437', '86', '216', '708', '573', '286', '742', '259', '794', '956', '218', '198', '49', '824', '360', '676', '7', '276', '257', '139']
['494', '181', '725', '311', '891', '79', '402', '638', '747', '837', '103', '74', '980', '922', '301', '732', '715', '401', '248', '650']
['498', '997', '857', '847', '947', '445', '432', '818', '622', '946', '25', '11', '263', '689', '75', '19', '697', '488', '692', '578']
['502', '73', '119', '372', '382', '907', '163', '953', '322', '600', '567', '35', '832', '864', '321', '806', '2', '170', '318', '182']
['515', '712', '106', '695', '46', '780', '410', '559', '877', '78', '530', '901', '108', '610', '799', '413', '460', '581', '127', '909']
['566', '220', '392', '304', '555', '813', '222', '179', '414', '275', '975', '134', '826', '343', '12', '917', '760', '300', '574', '758']
['640', '977', '290', '930', '621', '598', '486', '334', '974', '246', '880', '512', '178', '748', '520', '876', '796', '63', '129', '680']
['645', '906', '118', '471', '993', '584', '287', '887', '561', '517', '896', '942', '820', '763', '212', '861', '504', '688', '784', '845']
['674', '722', '377', '274', '936', '210', '572', '224', '570', '272', '706', '50', '479', '375', '752', '703', '41', '338', '187', '111']
['675', '32', '394', '250', '629', '641', '438', '895', '454', '144', '467', '798', '260', '261', '586', '490', '781', '740', '923', '756']
['716', '153', '886', '933', '704', '565', '348', '152', '426', '174', '475', '804', '810', '682', '644', '421', '500', '990', '431', '491']
['72', '24', '342', '750', '671', '938', '539', '65', '195', '939', '927', '120', '623', '838', '265', '160', '13', '817', '308', '104']
['788', '480', '15', '336', '128', '884', '984', '56', '251', '944', '339', '376', '919', '147', '729', '848', '963', '844', '988', '855']
['791', '836', '634', '628', '231', '970', '430', '825', '768', '188', '541', '463', '795', '398', '792', '976', '972', '408', '529', '405']
['816', '620', '415', '871', '107', '592', '60', '543', '206', '425', '150', '51', '835', '777', '893', '720', '735', '865', '455', '264']
['843', '131', '289', '654', '154', '677', '137', '651', '409', '451', '468', '393', '966', '522', '941', '456', '130', '138', '505', '423']
['856', '269', '379', '652', '452', '443', '759', '193', '888', '100', '33', '744', '441', '959', '964', '948', '55', '538', '753', '5']
['859', '326', '168', '630', '577', '983', '819', '833', '885', '503', '534', '705', '141', '16', '434', '670', '22', '315', '615', '617']
['879', '230', '773', '203', '691', '899', '470', '698', '252', '253', '889', '597', '97', '745', '971', '609', '125', '721', '746', '558']
['88', '635', '385', '166', '84', '122', '764', '288', '535', '862', '429', '386', '866', '62', '462', '631', '783', '642', '433', '296']
['883', '164', '531', '943', '282', '325', '240', '205', '447', '954', '603', '93', '404', '95', '685', '540', '945', '279', '362', '37']
['908', '44', '80', '605', '925', '267', '247', '853', '751', '552', '911', '427', '950', '822', '809', '568', '664', '636', '850', '646']
['913', '359', '20', '34', '53', '140', '333', '162', '353', '157', '81', '440', '588', '616', '829', '406', '332', '811', '867', '918']
['958', '110', '145', '560', '589', '527', '399', '390', '782', '453', '384', '418', '186', '184', '658', '381', '244', '493', '199', '169']
['960', '905', '962', '319', '411', '94', '508', '23', '996', '648', '373', '778', '710', '624', '340', '601', '28', '191', '367', '851']
