['104', '843', '463', '208', '502', '414', '365']
['108', '421', '433', '615', '59', '939', '326']
['115', '364', '759', '948', '660', '369', '520']
['122', '923', '25', '271', '601', '663', '339']
['126', '496', '717', '712', '856', '121', '1']
['130', '608', '485', '676', '483', '541', '268']
['131', '706', '476', '684', '623', '828', '787']
['135', '494', '697', '300', '744', '146', '736']
['139', '946', '455', '957', '687', '205', '782']
['14', '441', '584', '290', '516', '709', '614']
['141', '776', '196', '650', '79', '163', '355']
['153', '269', '730', '538', '945', '607', '424']
['154', '537', '827', '254', '234', '491', '775']
['165', '232', '312', '306', '31', '641', '482']
['198', '348', '431', '710', '12', '91', '226']
['2', '379', '93', '23', '649', '223', '656']
['20', '785', '842', '440', '540', '751', '511']
['206', '839', '410', '611', '133', '361', '525']
['211', '816', '504', '567', '419', '882', '917']
['218', '472', '629', '741', '195', '831', '105']
['227', '413', '832', '942', '358', '591', '971']
['229', '835', '94', '278', '645', '404', '397']
['243', '855', '349', '16', '887', '635', '32']
['252', '810', '727', '927', '288', '293', '880']
['253', '353', '805', '652', '860', '576', '778']
['257', '201', '900', '653', '532', '111', '952']
['258', '303', '221', '315', '266', '564', '17']
['272', '468', '438', '144', '47', '809', '953']
['275', '405', '825', '167', '244', '212', '750']
['286', '373', '265', '944', '119', '375', '959']
['287', '57', '171', '81', '693', '216', '188']
['296', '21', '446', '847', '569', '677', '107']
['3', '669', '536', '264', '780', '30', '157']
['304', '829', '929', '599', '862', '242', '912']
['311', '876', '359', '41', '528', '867', '120']
['320', '151', '930', '46', '345', '305', '189']
['327', '292', '132', '136', '616', '873', '529']
['328', '961', '926', '764', '236', '294', '625']
['335', '874', '498', '915', '600', '823', '679']
['336', '699', '822', '456', '755', '301', '55']
['34', '308', '187', '497', '797', '661', '295']
['341', '500', '200', '416', '174', '207', '665']
['342', '175', '60', '276', '526', '559', '309']
['352', '291', '771', '442', '118', '592', '726']
['357', '728', '603', '659', '285', '444', '581']
['363', '24', '48', '329', '574', '626', '940']
['367', '224', '937', '43', '703', '531', '643']
['368', '323', '745', '963', '563', '192', '925']
['37', '580', '113', '951', '299', '881', '844']
['377', '220', '360', '50', '869', '565', '371']
['378', '609', '169', '267', '941', '473', '330']
