['146', '119', '415', '504', '144', '454', '450', '479', '142', '298', '393', '299', '381', '699', '566', '218', '667', '77', '161', '390', '716', '347', '439', '110', '330', '623', '251', '196', '216', '41', '462', '733', '600', '517', '489', '17', '557', '723', '645', '438']
['153', '370', '430', '383', '449', '121', '694', '582', '720', '502', '198', '507', '20', '553', '247', '394', '310', '710', '427', '654', '78', '495', '0', '223', '307', '64', '532', '300', '641', '675', '283', '678', '490', '363', '590', '560', '233', '539', '74', '639']
['230', '190', '140', '535', '555', '16', '577', '128', '340', '516', '373', '278', '50', '500', '54', '597', '691', '732', '12', '338', '1', '362', '458', '647', '151', '68', '737', '730', '487', '269', '602', '420', '603', '293', '47', '581', '493', '519', '575', '83']
['289', '122', '572', '446', '284', '282', '51', '545', '259', '452', '379', '442', '19', '316', '137', '351', '180', '578', '162', '617', '601', '67', '537', '365', '506', '416', '480', '536', '219', '453', '701', '46', '682', '28', '321', '159', '546', '207', '214', '380']
['305', '382', '220', '434', '116', '258', '344', '178', '646', '23', '511', '349', '407', '477', '304', '165', '43', '34', '261', '482', '594', '650', '722', '706', '127', '358', '468', '398', '474', '286', '103', '550', '48', '707', '224', '400', '11', '494', '260', '656']
['371', '195', '175', '86', '471', '437', '70', '475', '605', '531', '301', '104', '687', '257', '145', '228', '105', '559', '485', '618', '6', '248', '456', '653', '680', '359', '357', '610', '534', '229', '235', '227', '392', '483', '612', '697', '528', '76', '423', '403']
['377', '96', '296', '242', '734', '2', '94', '561', '266', '644', '683', '117', '484', '13', '630', '410', '184', '384', '323', '66', '53', '659', '143', '42', '270', '543', '698', '288', '409', '334', '208', '267', '406', '193', '255', '666', '31', '496', '290', '611']
['388', '498', '615', '112', '202', '147', '319', '52', '469', '306', '106', '236', '729', '212', '10', '57', '81', '7', '515', '256', '440', '589', '563', '111', '467', '172', '649', '317', '342', '616', '164', '101', '651', '244', '632', '250', '695', '724', '60', '308']
['436', '254', '150', '568', '280', '136', '37', '160', '210', '281', '168', '447', '61', '690', '514', '328', '728', '249', '353', '592', '102', '684', '129', '422', '686', '80', '311', '356', '525', '718', '441', '33', '108', '69', '197', '513', '182', '556', '292', '372']
['523', '652', '115', '315', '591', '36', '664', '435', '689', '337', '123', '408', '564', '658', '374', '65', '49', '3', '240', '643', '201', '470', '169', '206', '614', '27', '238', '183', '253', '631', '584', '155', '547', '126', '91', '721', '635', '170', '573', '459']
['544', '587', '508', '187', '636', '541', '465', '18', '209', '163', '332', '157', '166', '624', '608', '638', '93', '595', '399', '287', '725', '476', '428', '179', '264', '361', '548', '585', '391', '63', '472', '492', '341', '89', '503', '272', '629', '558', '215', '203']
['549', '552', '567', '402', '448', '727', '274', '45', '554', '455', '173', '21', '478', '346', '273', '660', '413', '518', '158', '588', '231', '672', '329', '88', '154', '457', '327', '540', '569', '551', '704', '491', '375', '486', '130', '15', '676', '401', '85', '425']
['55', '431', '529', '56', '294', '668', '118', '213', '313', '152', '414', '109', '124', '424', '188', '194', '421', '395', '405', '189', '463', '345', '607', '32', '134', '669', '139', '709', '199', '303', '433', '426', '640', '226', '509', '533', '385', '411', '9', '501']
['58', '125', '205', '613', '510', '386', '579', '418', '366', '606', '715', '596', '297', '320', '148', '432', '443', '634', '237', '268', '325', '368', '95', '679', '336', '499', '174', '662', '739', '98', '609', '295', '497', '526', '731', '604', '481', '132', '309', '627']
['598', '713', '700', '302', '22', '234', '191', '331', '167', '665', '156', '232', '40', '696', '176', '35', '5', '4', '113', '583', '378', '681', '677', '655', '396', '703', '364', '186', '642', '711', '26', '79', '291', '343', '355', '246', '279', '14', '192', '461']
['619', '599', '460', '633', '177', '387', '688', '512', '87', '565', '708', '92', '389', '738', '222', '693', '685', '360', '637', '538', '429', '29', '97', '717', '138', '524', '586', '576', '657', '241', '8', '570', '322', '326', '702', '488', '712', '277', '574', '99']
['625', '211', '692', '133', '417', '369', '348', '275', '271', '622', '135', '367', '580', '626', '84', '100', '245', '285', '736', '324', '265', '225', '562', '314', '621', '445', '473', '350', '521', '114', '71', '520', '181', '221', '25', '339', '185', '131', '527', '671']
['663', '82', '505', '593', '726', '44', '318', '522', '648', '75', '542', '464', '333', '149', '171', '276', '376', '714', '62', '451', '243', '217', '252', '107', '262', '404', '705', '354', '620', '38', '239', '444', '204', '59', '73', '628', '661', '24', '719', '673']
['670', '263', '90', '397', '674', '335', '120', '571', '735', '200', '312', '141', '72', '30', '530', '412', '419', '352', '466', '39']
