['215', '751', '264', '447', '2', '125', '117', '231', '606', '411', '578', '706', '182', '919', '198', '325', '391', '756', '797', '160', '781', '462', '358', '822', '401', '176', '196', '847', '883', '575', '662']
['239', '787', '372', '303', '52', '824', '680', '762', '397', '671', '721', '689', '260', '718', '709', '632', '270', '959', '624', '410', '59', '274', '164', '133', '516', '310', '482', '216', '38', '115', '651']
['266', '352', '387', '97', '661', '517', '728', '724', '480', '831', '547', '54', '470', '250', '935', '348', '32', '34', '306', '576', '580', '861', '769', '229', '738', '733', '112', '927', '792', '434', '512']
['286', '79', '717', '685', '911', '841', '487', '554', '89', '338', '328', '381', '748', '715', '420', '29', '842', '312', '808', '922', '871', '257', '806', '707', '335', '786', '116', '146', '945', '295', '429']
['291', '139', '754', '162', '610', '712', '698', '816', '82', '720', '90', '771', '379', '444', '217', '308', '701', '541', '604', '873', '694', '337', '360', '304', '73', '531', '940', '95', '613', '122', '69']
['386', '61', '396', '888', '605', '813', '276', '788', '275', '665', '739', '142', '11', '752', '821', '36', '451', '711', '819', '48', '316', '868', '359', '599', '404', '641', '468', '322', '437', '693', '530']
['394', '476', '123', '793', '770', '212', '377', '147', '22', '812', '930', '546', '334', '454', '483', '104', '804', '213', '236', '31', '593', '195', '8', '10', '41', '131', '621', '252', '764', '98', '464']
['405', '175', '91', '128', '256', '722', '58', '958', '37', '702', '343', '800', '319', '107', '223', '612', '57', '441', '427', '189', '882', '463', '839', '505', '763', '378', '364', '682', '696', '556', '803']
['440', '233', '595', '609', '409', '484', '254', '659', '640', '321', '33', '469', '80', '277', '456', '161', '68', '699', '129', '366', '190', '825', '590', '618', '675', '645', '926', '350', '623', '210', '150']
['445', '455', '589', '145', '313', '681', '924', '442', '913', '588', '773', '324', '563', '204', '197', '375', '222', '408', '766', '186', '519', '170', '608', '535', '349', '498', '431', '153', '778', '644', '584']
['45', '238', '703', '753', '331', '0', '583', '167', '745', '932', '102', '691', '430', '937', '490', '679', '421', '344', '947', '742', '687', '828', '548', '596', '867', '70', '273', '302', '418', '558', '833']
['453', '211', '587', '49', '367', '166', '603', '704', '67', '284', '163', '81', '878', '155', '228', '796', '729', '591', '910', '481', '542', '253', '870', '354', '235', '934', '642', '227', '761', '784', '855']
['514', '300', '84', '267', '289', '936', '74', '188', '292', '467', '777', '245', '298', '914', '389', '165', '226', '829', '799', '373', '581', '7', '811', '280', '592', '424', '735', '876', '130', '461', '242']
['538', '877', '949', '279', '137', '148', '388', '290', '629', '407', '218', '836', '71', '555', '370', '907', '744', '678', '791', '415', '647', '526', '897', '928', '156', '293', '939', '529', '737', '798', '136']
['540', '477', '173', '852', '255', '562', '326', '168', '108', '635', '850', '673', '132', '138', '630', '471', '4', '887', '109', '436', '617', '572', '900', '16', '757', '849', '648', '896', '705', '251', '602']
['564', '895', '684', '553', '119', '582', '552', '912', '120', '457', '390', '106', '278', '87', '380', '384', '594', '449', '843', '282', '620', '507', '171', '638', '767', '614', '184', '864', '627', '297', '40']
['569', '426', '194', '866', '121', '566', '355', '135', '508', '5', '513', '144', '118', '225', '522', '734', '55', '884', '731', '667', '660', '94', '905', '509', '879', '191', '710', '906', '802', '43', '485']
['574', '543', '341', '759', '51', '181', '42', '628', '955', '790', '307', '332', '105', '571', '890', '18', '382', '219', '220', '75', '101', '909', '859', '99', '817', '111', '532', '473', '240', '931', '889']
['577', '946', '515', '288', '283', '747', '676', '356', '898', '237', '230', '320', '653', '152', '746', '504', '494', '597', '551', '537', '631', '860', '86', '262', '902', '666', '643', '178', '339', '510', '296']
['586', '726', '126', '834', '923', '626', '885', '30', '177', '544', '50', '758', '686', '669', '903', '206', '362', '506', '646', '433', '692', '465', '425', '6', '479', '406', '301', '801', '85', '637', '333']
['636', '64', '664', '66', '830', '200', '633', '247', '363', '299', '88', '550', '472', '545', '894', '657', '371', '654', '342', '285', '875', '502', '848', '234', '199', '46', '674', '78', '794', '361', '826']
['65', '315', '143', '880', '154', '336', '789', '677', '837', '127', '656', '775', '846', '809', '174', '3', '536', '422', '419', '448', '35', '823', '14', '749', '258', '943', '944', '478', '187', '395', '268']
['690', '953', '346', '243', '854', '435', '499', '497', '956', '670', '1', '488', '159', '489', '28', '780', '579', '838', '732', '393', '951', '649', '207', '369', '47', '601', '634', '203', '459', '805', '500']
['697', '893', '565', '570', '908', '619', '96', '713', '428', '39', '180', '741', '193', '416', '12', '650', '598', '53', '810', '376', '782', '383', '23', '525', '683', '185', '26', '141', '948', '845', '60']
