['0', '779', '384', '187', '444']
['1', '119', '241', '39', '994']
['106', '675', '288', '579', '984']
['107', '611', '186', '269', '904']
['108', '296', '760', '889', '958']
['109', '530', '354', '350', '954']
['111', '516', '21', '710', '80']
['117', '834', '647', '605', '867']
['122', '736', '498', '265', '708']
['125', '316', '451', '553', '823']
['126', '71', '301', '769', '581']
['127', '677', '381', '370', '673']
['128', '422', '992', '445', '899']
['131', '787', '202', '435', '342']
['132', '441', '267', '721', '12']
['135', '758', '735', '664', '232']
['137', '481', '826', '902', '290']
['138', '619', '161', '346', '302']
['139', '851', '502', '796', '715']
['144', '547', '420', '543', '440']
['149', '73', '945', '568', '205']
['151', '555', '216', '898', '587']
['159', '181', '997', '284', '631']
['164', '879', '978', '944', '672']
['166', '152', '320', '580', '990']
['167', '584', '572', '133', '248']
['174', '239', '432', '465', '11']
['177', '642', '909', '705', '156']
['196', '639', '194', '189', '713']
['197', '42', '691', '501', '213']
['2', '398', '722', '255', '765']
['20', '931', '865', '45', '596']
['200', '714', '52', '17', '418']
['206', '219', '66', '646', '18']
['210', '375', '365', '19', '916']
['217', '396', '808', '692', '193']
['221', '358', '741', '767', '105']
['227', '8', '756', '974', '155']
['228', '680', '975', '27', '940']
['236', '525', '399', '477', '295']
['250', '648', '880', '368', '486']
['254', '740', '185', '469', '162']
['257', '262', '535', '281', '718']
['263', '738', '264', '459', '24']
['277', '777', '10', '520', '829']
['28', '237', '47', '249', '326']
['280', '971', '906', '306', '178']
['287', '693', '862', '907', '531']
['29', '79', '617', '179', '158']
['298', '208', '427', '379', '334']
['299', '744', '50', '355', '658']
['300', '363', '468', '494', '536']
['303', '113', '704', '650', '914']
['313', '969', '932', '97', '828']
['321', '378', '551', '479', '993']
['325', '36', '778', '345', '855']
['331', '136', '966', '175', '328']
['332', '694', '387', '655', '812']
['336', '333', '456', '43', '546']
['337', '212', '608', '803', '291']
['339', '91', '317', '256', '700']
['341', '963', '934', '142', '447']
['351', '590', '669', '258', '558']
['360', '121', '780', '369', '805']
['362', '522', '7', '294', '293']
['364', '489', '562', '534', '376']
['366', '382', '170', '367', '797']
['372', '163', '717', '391', '813']
['377', '85', '903', '199', '613']
['383', '406', '951', '453', '305']
['390', '538', '273', '314', '618']
['393', '282', '485', '918', '130']
['395', '977', '53', '81', '160']
['401', '519', '204', '285', '272']
['404', '116', '38', '746', '323']
['416', '275', '576', '252', '598']
['417', '268', '402', '307', '743']
['425', '542', '467', '403', '835']
['428', '67', '134', '63', '13']
['429', '544', '157', '426', '900']
['430', '632', '15', '949', '630']
['431', '856', '771', '858', '214']
['433', '652', '446', '563', '385']
['438', '772', '755', '292', '775']
