['119', '561', '184', '742', '734', '328', '333', '399', '92', '714', '278', '749', '560', '0', '606', '34', '743', '116', '346', '369', '715', '142', '40', '486', '320', '727', '451', '147', '109', '508']
['134', '305', '295', '733', '123', '744', '663', '351', '237', '574', '435', '532', '573', '322', '501', '605', '648', '156', '649', '280', '243', '193', '737', '244', '537', '454', '117', '129', '654', '701']
['173', '175', '81', '608', '348', '216', '459', '120', '180', '107', '99', '130', '191', '689', '565', '196', '500', '49', '105', '122', '476', '458', '135', '498', '274', '409', '2', '303', '495', '627']
['198', '707', '287', '657', '395', '478', '26', '408', '656', '420', '386', '616', '629', '548', '368', '475', '172', '624', '446', '463', '598', '570', '361', '356', '713', '86', '511', '477', '337', '550']
['220', '394', '688', '257', '45', '543', '585', '347', '336', '229', '203', '493', '201', '236', '71', '214', '110', '251', '696', '426', '721', '370', '126', '492', '84', '252', '23', '59', '719', '223']
['234', '437', '242', '681', '410', '700', '597', '133', '650', '373', '488', '344', '674', '293', '555', '540', '380', '672', '132', '291', '54', '393', '266', '93', '690', '157', '345', '542', '39', '419']
['256', '414', '58', '462', '202', '717', '47', '669', '566', '389', '748', '46', '11', '400', '14', '178', '167', '260', '483', '121', '391', '262', '413', '660', '12', '664', '517', '601', '609', '41']
['272', '29', '205', '327', '655', '614', '725', '91', '441', '456', '182', '362', '430', '676', '453', '324', '376', '424', '213', '314', '19', '16', '551', '111', '677', '298', '562', '431', '447', '232']
['288', '505', '355', '304', '642', '61', '118', '436', '709', '695', '60', '534', '582', '723', '739', '552', '418', '69', '78', '738', '615', '313', '371', '63', '527', '297', '228', '82', '571', '392']
['292', '340', '610', '693', '88', '339', '449', '279', '622', '443', '587', '185', '360', '499', '144', '675', '219', '77', '706', '438', '421', '9', '630', '450', '211', '24', '467', '245', '432', '595']
['325', '179', '741', '444', '416', '546', '13', '687', '15', '255', '247', '139', '112', '590', '594', '581', '638', '301', '268', '554', '448', '682', '396', '282', '481', '149', '270', '52', '253', '567']
['330', '296', '387', '588', '640', '316', '671', '153', '273', '670', '51', '518', '317', '221', '559', '718', '530', '553', '745', '199', '22', '87', '639', '699', '377', '148', '127', '188', '485', '659']
['358', '685', '50', '694', '507', '509', '48', '385', '524', '267', '215', '525', '403', '535', '641', '732', '504', '607', '164', '8', '227', '160', '404', '526', '457', '680', '74', '163', '165', '277']
['388', '645', '108', '712', '190', '619', '417', '79', '239', '496', '25', '145', '482', '138', '729', '334', '491', '442', '541', '520', '170', '326', '374', '586', '261', '704', '158', '730', '678', '286']
['474', '17', '100', '558', '440', '603', '497', '249', '557', '35', '241', '697', '323', '736', '146', '21', '186', '472', '468', '523', '521', '728', '94', '140', '460', '263', '141', '7', '494', '311']
['545', '31', '331', '264', '276', '402', '618', '628', '230', '503', '90', '716', '572', '632', '547', '225', '746', '143', '599', '621', '104', '382', '390', '102', '647', '479', '329', '538', '612', '643']
['569', '37', '564', '636', '667', '284', '271', '349', '168', '487', '307', '634', '556', '65', '161', '294', '38', '600', '18', '359', '367', '206', '631', '576', '80', '434', '171', '124', '584', '103']
['591', '192', '67', '299', '513', '28', '197', '195', '204', '312', '578', '637', '44', '174', '212', '580', '568', '398', '406', '708', '686', '66', '354', '285', '489', '281', '176', '76', '452', '375']
['633', '235', '427', '731', '114', '665', '611', '224', '36', '55', '321', '338', '259', '583', '401', '137', '200', '464', '169', '131', '705', '187', '428', '248', '240', '539', '480', '183', '128', '162']
['651', '353', '411', '536', '433', '425', '684', '528', '653', '166', '150', '735', '101', '231', '265', '275', '652', '522', '702', '207', '593', '43', '549', '720', '407', '113', '335', '703', '352', '722']
['673', '484', '502', '258', '412', '319', '27', '366', '238', '617', '384', '661', '152', '246', '218', '466', '364', '422', '181', '683', '208', '635', '577', '379', '691', '372', '455', '514', '342', '596']
['68', '679', '575', '469', '83', '254', '405', '32', '710', '98', '315', '357', '461', '445', '189', '473', '602', '89', '658', '378', '625', '115', '666', '70', '471', '20', '95', '646', '620', '233']
['726', '4', '125', '3', '363', '533', '154', '740', '592', '302', '698', '470', '623', '318', '269', '209', '662', '56', '210', '5', '747', '644', '531', '343', '365', '62', '439', '30', '383', '64']
['85', '604', '217', '711', '159', '151', '429', '306', '106', '415', '96', '308', '290', '490', '283', '397', '194', '512', '155', '544', '10', '626', '668', '42', '57', '692', '506', '222', '563', '1']
['97', '510', '6', '309', '341', '381', '589', '136', '177', '72', '465', '33', '73', '226', '724', '332', '519', '613', '529', '75', '515', '289', '350', '300', '250', '310', '423', '516', '53', '579']
