['0', '11', '22', '33', '44', '55', '66', '77', '88', '99', '110']
['101', '112', '123', '134', '145', '156', '167', '178', '189', '200', '211']
['103', '108', '114', '119', '125', '130', '136', '141', '147', '152', '158']
['111', '122', '133', '144', '155', '166', '177', '188', '199', '210', '221']
['121', '132', '143', '154', '165', '176', '187', '198', '209', '220', '231']
['151', '162', '173', '184', '195', '206', '217', '228', '239', '250', '252']
['161', '172', '183', '194', '205', '216', '227', '238', '249', '8', '19']
['163', '169', '174', '180', '185', '191', '196', '202', '207', '213', '218']
['171', '182', '193', '204', '215', '226', '237', '248', '7', '18', '29']
['181', '192', '203', '214', '225', '236', '247', '6', '17', '28', '39']
['212', '223', '234', '245', '4', '9', '15', '20', '26', '31', '37']
['222', '233', '244', '3', '14', '25', '36', '47', '58', '69', '80']
['224', '229', '235', '240', '246', '251', '5', '16', '27', '38', '49']
['232', '243', '2', '13', '24', '35', '46', '57', '68', '79', '90']
['242', '1', '12', '23', '34', '45', '56', '67', '78', '89', '100']
['261', '10', '21', '32', '43', '54', '65', '76', '87', '98', '109']
['262', '254', '259', '256', '257', '253', '255', '258', '260', '120', '131']
['263', '142', '153', '164', '175', '186', '197', '208', '219', '230', '241']
['30', '41', '52', '63', '74', '85', '96', '107', '118', '129', '140']
['40', '51', '62', '73', '84', '95', '106', '117', '128', '139', '150']
['42', '48', '53', '59', '64', '70', '75', '81', '86', '92', '97']
['50', '61', '72', '83', '94', '105', '116', '127', '138', '149', '160']
['60', '71', '82', '93', '104', '115', '126', '137', '148', '159', '170']
['91', '102', '113', '124', '135', '146', '157', '168', '179', '190', '201']
