['15', '18', '19', '20', '22', '28', '31', '32', '43', '44', '45', '48', '51', '53', '59', '61', '63', '64', '66', '76', '78', '85', '86', '102', '213', '256', '288', '290', '183', '186']
['178', '177', '176', '174', '172', '173', '170', '167', '168', '165', '166', '149', '155', '156', '157', '159', '161', '162', '163', '58', '108', '140', '141', '145', '146', '2', '7', '10', '23', '29']
['190', '203', '205', '211', '212', '217', '220', '227', '228', '230', '232', '242', '261', '267', '268', '278', '296', '297', '299', '300', '303', '310', '312', '314', '316', '327', '331', '333', '342', '350']
['30', '37', '47', '54', '69', '74', '83', '93', '94', '99', '101', '107', '110', '114', '117', '120', '121', '122', '123', '126', '128', '130', '131', '132', '133', '135', '136', '139', '144', '0']
['357', '367', '371', '373', '379', '386', '175', '171', '169', '164', '158', '160', '147', '148', '150', '151', '152', '153', '154', '9', '13', '17', '34', '50', '75', '81', '89', '98', '103', '109']
['391', '111', '112', '113', '115', '116', '118', '119', '124', '125', '127', '129', '134', '137', '138', '142', '143', '241', '1', '3', '4', '5', '6', '8', '11', '12', '14', '16', '21', '24']
['392', '25', '26', '27', '33', '35', '36', '38', '39', '40', '41', '42', '46', '49', '52', '55', '56', '57', '60', '62', '65', '67', '68', '70', '71', '72', '73', '77', '79', '80']
['393', '82', '84', '87', '88', '90', '91', '92', '95', '96', '97', '100', '104', '105', '106', '180', '185', '192', '196', '202', '216', '225', '229', '248', '292', '179', '181', '182', '184', '187']
['394', '188', '189', '191', '193', '194', '195', '197', '198', '199', '200', '201', '204', '206', '207', '208', '209', '210', '214', '215', '218', '219', '221', '222', '223', '224', '226', '231', '233', '234']
['395', '235', '236', '237', '238', '239', '240', '243', '244', '245', '246', '247', '249', '250', '251', '252', '253', '254', '255', '257', '258', '259', '260', '262', '263', '264', '265', '266', '269', '270']
['396', '271', '272', '273', '274', '275', '276', '277', '279', '280', '281', '282', '283', '284', '285', '286', '287', '289', '291', '293', '294', '295', '298', '301', '302', '304', '305', '306', '307', '308']
['397', '309', '311', '313', '315', '317', '318', '319', '320', '321', '322', '323', '324', '325', '326', '328', '329', '330', '332', '334', '335', '336', '337', '338', '339', '340', '341', '343', '344', '345']
['398', '346', '347', '348', '349', '351', '352', '353', '354', '355', '356', '358', '359', '360', '361', '362', '363', '364', '365', '366', '368', '369', '370', '372', '374', '375', '376', '377', '378', '380']
['399', '381', '382', '383', '384', '385', '387', '388', '389', '390']
