['ah', 'an', 'ar', 'aw', 'fr', 'fh', 'kb', 'ge', 'gj', 'ev']
['bh', 'bv', 'je', 'bx', 'jn', 'iv', 'jh', 'ck', 'cj', 'co']
['ch', 'cg', 'io', 'cz', 'cs', 'cw', 'cu', 'iq', 'hp', 'gt']
['cn', 'cb', 'ca', 'cq', 'ih', 'ip', 'hx', 'hq', 'ei', 'ek']
['e', 'dk', 'gv', 'dd', 'dz', 'jx', 'cv', 'gu', 'gb', 'gl']
['eo', 'eh', 'ep', 'er', 'ju', 'jd', 'gs', 'gr', 'gx', 'gd']
['ex', 'ba', 'bc', 'bo', 'bw', 'jo', 'ce', 'hs', 'z', 'gz']
['gf', 'ia', 'dh', 'dp', 'jq', 'en', 'eg', 'ez', 'ew', 'bb']
['gg', 'gc', 'gi', 'jw', 'di', 'dg', 'dc', 'dw', 'ds', 'kg']
['gh', 'dm', 'de', 'dy', 'iw', 'd', 'h', 'p', 'x', 'el']
['gk', 'do', 'db', 'da', 'l', 'ee', 'ef', 'ec', 'et', 'js']
['go', 'gn', 'df', 'ga', 'gw', 'gq', 'gp', 'dv', 'o', 'gy']
['ht', 'hi', 'hn', 'ho', 'f', 'j', 'ik', 'kk', 'il', 'ab']
['i', 'dl', 'dr', 'ey', 'cy', 'hf', 'gm', 't', 'ed', 'bn']
['it', 'bz', 'v', 'fc', 'fg', 'fm', 'fn', 'fo', 'bu', 'c']
['iz', 'ji', 'cl', 'ha', 'ae', 'au', 'dt', 'ir', 'em', 'ej']
['jt', 'jv', 'bi', 'bp', 'jg', 'jc', 'g', 's', 'w', 'ci']
['jz', 'be', 'bf', 'bt', 'jf', 'jl', 'jm', 'cx', 'iy', 'hw']
['kd', 'jr', 'jp', 'eq', 'bg', 'bl', 'bj', 'bk', 'cd', 'ka']
['ke', 'jy', 'hg', 'ai', 'ax', 'if', 'kf', 'dn', 'dj', 'dq']
['kh', 'ea', 'eu', 'es', 'bd', 'bm', 'by', 'k', 'cm', 'cc']
['ki', 'jk', 'cf', 'cp', 'ct', 'ja', 'iu', 'hr', 'hv', 'hj']
['kj', 'hh', 'hm', 'hb', 'ij', 'r', 'aa', 'ak', 'al', 'at']
['kl', 'ig', 'ib', 'in', 'fp', 'fq', 'fs', 'fw', 'fx', 'fz']
['km', 'fd', 'fe', 'ff', 'fj', 'dx', 'du', 'eb', 'bq', 'br']
['kn', 'bs', 'cr', 'jb', 'is', 'hz', 'kc', 'hy', 'hu', 'hk']
['m', 'hl', 'hc', 'hd', 'he', 'ii', 'b', 'n', 'im', 'ix']
['q', 'ac', 'ad', 'ag', 'af', 'aj', 'am', 'ao', 'aq', 'ap']
['u', 'as', 'av', 'ay', 'ic', 'az', 'ie', 'zz', 'ft', 'fu']
['y', 'fv', 'fy', 'fa', 'fb', 'fi', 'fk', 'fl', 'a', 'jj']
