['0', '4', '8', '12']
['1', '5', '9', '13']
['112', '116', '120', '124']
['113', '117', '121', '125']
['114', '118', '122', '126']
['128', '132', '136', '140']
['129', '133', '137', '141']
['130', '134', '138', '142']
['144', '148', '152', '156']
['145', '149', '153', '157']
['146', '150', '154', '158']
['16', '20', '24', '28']
['160', '164', '168', '172']
['161', '165', '169', '173']
['162', '166', '170', '174']
['17', '21', '25', '29']
['176', '180', '184', '188']
['177', '181', '185', '189']
['178', '182', '186', '190']
['18', '22', '26', '30']
['192', '196', '200', '204']
['193', '197', '201', '205']
['194', '198', '202', '206']
['2', '6', '10', '14']
['208', '212', '216', '220']
['209', '213', '217', '221']
['210', '214', '218', '222']
['224', '228', '232', '236']
['225', '229', '233', '237']
['226', '230', '234', '238']
['240', '244', '248', '252']
['241', '245', '249', '253']
['242', '246', '250', '254']
['256', '260', '264', '268']
['257', '261', '265', '269']
['258', '262', '266', '270']
['272', '276', '280', '284']
['273', '277', '281', '285']
['274', '278', '282', '286']
['288', '292', '296', '300']
['289', '293', '297', '301']
['290', '294', '298', '302']
['303', '3', '7', '11']
['304', '308', '312', '316']
['305', '309', '313', '317']
['306', '310', '314', '318']
['307', '15', '19', '23']
['311', '27', '31', '35']
['315', '39', '43', '47']
['319', '51', '55', '59']
['32', '36', '40', '44']
['320', '324', '328', '332']
['321', '325', '329', '333']
['322', '326', '330', '334']
['323', '63', '67', '71']
['327', '75', '79', '83']
['33', '37', '41', '45']
['331', '87', '91', '95']
['335', '99', '103', '107']
['336', '340', '344', '348']
['337', '341', '345', '349']
['338', '342', '346', '350']
['339', '111', '115', '119']
['34', '38', '42', '46']
['343', '123', '127', '131']
['347', '135', '139', '143']
['351', '147', '151', '155']
['352', '356', '360', '364']
['353', '357', '361', '365']
['354', '358', '362', '366']
['355', '159', '163', '167']
['359', '171', '175', '179']
['363', '183', '187', '191']
['367', '195', '199', '203']
['368', '372', '376', '380']
['369', '373', '377', '381']
['370', '374', '378', '382']
['371', '207', '211', '215']
['375', '219', '223', '227']
['379', '231', '235', '239']
['383', '243', '247', '251']
['384', '388', '392', '396']
['385', '389', '393', '397']
['386', '390', '394', '398']
['387', '255', '259', '263']
['391', '267', '271', '275']
['395', '279', '283', '287']
['399', '291', '295', '299']
['48', '52', '56', '60']
['49', '53', '57', '61']
['50', '54', '58', '62']
['64', '68', '72', '76']
['65', '69', '73', '77']
['66', '70', '74', '78']
['80', '84', '88', '92']
['81', '85', '89', '93']
['82', '86', '90', '94']
['96', '100', '104', '108']
['97', '101', '105', '109']
['98', '102', '106', '110']
