['a0', 'a5', 'a16', 'a61', 'a68', 'a12', 'a81', 'a88', 'a24', 'a28']
['a103', 'a109', 'a110', 'a116', 'a115', 'a120', 'a127', 'a134', 'a133', 'a148']
['a104', 'a105', 'a122', 'a144', 'a176', 'a177', 'a189', 'a200', 'a249', 'a79']
['a13', 'a197', 'a206', 'a29', 'a40', 'a50', 'a194', 'a91', 'a126', 'a130']
['a137', 'a14', 'a18', 'a204', 'a72', 'a183', 'a225', 'a248', 'a4', 'a2']
['a142', 'a201', 'a207', 'a36', 'a47', 'a48', 'a54', 'a55', 'a90', 'a190']
['a143', 'a147', 'a155', 'a152', 'a151', 'a174', 'a181', 'a187', 'a202', 'a195']
['a150', 'a157', 'a165', 'a170', 'a203', 'a230', 'a240', 'a243', 'a6', 'a9']
['a153', 'a97', 'a106', 'a107', 'a111', 'a112', 'a132', 'a145', 'a141', 'a156']
['a160', 'a161', 'a169', 'a175', 'a173', 'a180', 'a214', 'a222', 'a227', 'a235']
['a162', 'a164', 'a178', 'a172', 'a216', 'a220', 'a221', 'a231', 'a241', 'a242']
['a179', 'a1', 'a15', 'a22', 'a23', 'a32', 'a35', 'a39', 'a43', 'a44']
['a184', 'a58', 'a59', 'a192', 'a64', 'a85', 'a94', 'a77', 'a74', 'a89']
['a199', 'a211', 'a218', 'a212', 'a226', 'a229', 'a239', 'a234', 'a233', 'a232']
['a217', 'a191', 'a99', 'a108', 'a119', 'a117', 'a123', 'a128', 'a135', 'a131']
['a223', 'a146', 'a149', 'a158', 'a159', 'a154', 'a167', 'a166', 'a168', 'a163']
['a237', 'a171', 'a182', 'a188', 'a186', 'a209', 'a205', 'a208', 'a215', 'a213']
['a244', 'a219', 'a224', 'a228', 'a238', 'a236', 'a246', 'a247', 'a3', 'a21']
['a245', 'a31', 'a45', 'a46', 'a53', 'a101', 'a102', 'a113', 'a121', 'a136']
['a26', 'a33', 'a41', 'a56', 'a60', 'a62', 'a66', 'a71', 'a78', 'a80']
['a34', 'a37', 'a49', 'a42', 'a57', 'a52', 'a67', 'a196', 'a95', 'a73']
['a7', 'a19', 'a198', 'a193', 'a98', 'a92', 'a20', 'a27', 'a30', 'a38']
['a8', 'a63', 'a17', 'a25', 'a51', 'a86', 'a93', 'a76', 'a75', 'a87']
['a83', 'a69', 'a65', 'a70', 'a100', 'a140', 'a185', 'a210', 'a10', 'a11']
['a84', 'a82', 'a96', 'a114', 'a118', 'a124', 'a125', 'a129', 'a138', 'a139']
