['173', '324', '329', '72', '71', '416', '417', '137', '418', '311', '315', '369', '366', '364', '363', '383', '388', '389', '259', '250', '256', '465', '464']
['22', '379', '373', '391', '397', '171', '170', '187', '11', '18', '125', '139', '386', '387', '60', '61', '67', '462', '119', '102', '432', '0', '176']
['349', '33', '130', '27', '331', '191', '249', '326', '205', '341', '497', '438', '149', '28', '343', '316', '271', '252', '439', '93', '376', '204', '202']
['449', '448', '442', '446', '100', '32', '30', '99', '91', '92', '238', '239', '233', '141', '132', '131', '135', '494', '490', '491', '492', '26', '20']
['466', '169', '166', '160', '215', '288', '285', '264', '269', '50', '53', '52', '63', '118', '426', '303', '181', '226', '222', '390', '154', '46', '5']
['471', '321', '377', '17', '344', '345', '346', '340', '342', '298', '297', '294', '293', '290', '291', '199', '194', '197', '196', '190', '193', '192', '270']
['472', '272', '274', '275', '276', '277', '278', '443', '441', '440', '447', '445', '444', '108', '109', '103', '101', '107', '104', '39', '38', '31', '37']
['473', '36', '436', '434', '433', '430', '338', '335', '334', '337', '336', '330', '333', '332', '6', '98', '90', '95', '94', '97', '96', '234', '235']
['474', '237', '230', '231', '232', '1', '146', '147', '144', '142', '143', '148', '499', '134', '25', '21', '29', '407', '404', '402', '400', '409', '378']
['475', '372', '375', '393', '392', '89', '396', '395', '82', '83', '86', '244', '247', '246', '241', '240', '243', '242', '248', '458', '459', '452', '454']
['476', '456', '179', '178', '175', '174', '182', '180', '2', '186', '188', '189', '10', '13', '12', '15', '14', '16', '325', '201', '200', '207', '208']
['477', '75', '74', '258', '122', '126', '128', '412', '419', '136', '319', '318', '310', '365', '381', '384', '64', '257', '254', '255', '468', '467', '461']
['478', '460', '164', '163', '357', '356', '355', '289', '281', '282', '262', '59', '58', '54', '423', '424', '304', '158', '487', '470', '106', '105', '35']
['479', '34', '437', '435', '431', '339', '236', '145', '140', '133', '495', '496', '493', '24', '23', '406', '405', '403', '401', '408', '371', '370', '374']
['480', '399', '398', '87', '84', '85', '7', '245', '450', '451', '453', '455', '457', '177', '253', '183', '184', '185', '19', '322', '323', '320', '327']
['481', '328', '203', '206', '209', '77', '73', '70', '79', '78', '8', '120', '121', '123', '124', '127', '129', '414', '415', '411', '413', '313', '312']
['482', '317', '314', '138', '3', '368', '367', '362', '360', '361', '380', '382', '385', '62', '65', '66', '68', '69', '251', '469', '463', '168', '165']
['483', '167', '161', '162', '9', '354', '353', '352', '351', '350', '359', '358', '217', '214', '212', '213', '210', '211', '218', '219', '4', '280', '283']
['484', '287', '286', '263', '260', '267', '266', '265', '268', '55', '57', '56', '51', '115', '117', '116', '111', '110', '429', '428', '421', '420', '425']
['485', '427', '308', '309', '300', '301', '302', '306', '307', '228', '227', '225', '224', '223', '221', '220', '114', '88', '151', '150', '153', '152', '155']
['486', '157', '156', '159', '80', '81', '48', '49', '47', '44', '45', '42', '43', '40', '41', '489', '488']
['76', '216', '284', '422', '498', '113', '229', '394', '172', '410', '261', '112', '305', '347', '348', '299', '296', '295', '292', '198', '195', '273', '279']
