['10', '55', '100', '145', '190', '235', '280', '325', '370', '415', '464', '11', '56', '101', '146', '236', '281', '326', '371', '57', '102', '147', '192', '237']
['109', '154', '199', '244', '289', '334', '379', '424', '473', '20', '65', '110', '155', '200', '245', '335', '380', '425', '474', '22', '23', '24', '25', '26']
['119', '120', '121', '122', '123', '124', '125', '126', '127', '128', '129', '130', '131', '132', '133', '134', '157', '158', '159', '160', '161', '162', '163', '164']
['165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175', '176', '177', '178', '179', '202', '203', '204', '205', '206', '207', '208', '209', '210']
['211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223', '224', '247', '248', '249', '250', '251', '252', '253', '254', '255', '256']
['230', '275', '365', '410', '459', '6', '51', '96', '141', '186', '231', '276', '321', '366', '411', '460', '7', '52', '97', '142', '187', '232', '277', '322']
['257', '258', '259', '260', '261', '262', '263', '264', '265', '266', '267', '268', '269', '292', '293', '294', '295', '296', '297', '298', '299', '300', '301', '302']
['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '67', '68', '69', '70', '71', '72']
['282', '327', '372', '417', '466', '13', '58', '103', '148', '193', '238', '283', '328', '373', '418', '467', '14', '59', '104', '149', '194', '239', '284', '329']
['303', '304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '337', '338', '339', '340', '341', '342', '343', '344', '345', '346', '347', '348']
['349', '350', '351', '352', '353', '354', '355', '356', '357', '358', '359', '382', '383', '384', '385', '386', '387', '388', '389', '390', '391', '392', '393', '394']
['361', '137', '94', '320', '54', '191', '416', '465', '12', '243', '450', '290', '451', '452', '453', '0', '45', '90', '135', '180', '225', '270', '315', '360']
['367', '412', '461', '8', '53', '98', '143', '188', '233', '278', '323', '368', '413', '462', '9', '99', '144', '189', '234', '279', '324', '369', '414', '463']
['374', '419', '468', '15', '60', '105', '150', '195', '240', '285', '330', '375', '420', '469', '16', '61', '106', '151', '196', '241', '286', '331', '376', '421']
['395', '396', '397', '398', '399', '400', '401', '402', '403', '404', '427', '428', '429', '430', '431', '432', '433', '434', '435', '436', '437', '438', '439', '440']
['405', '454', '1', '46', '91', '136', '181', '226', '271', '316', '406', '455', '2', '47', '92', '182', '227', '272', '317', '362', '407', '456', '3', '48']
['441', '442', '443', '444', '445', '446', '447', '448', '449', '476', '477', '478', '479', '480', '481', '482', '483', '484', '485', '486', '487', '488', '489', '490']
['470', '17', '62', '107', '152', '197', '242', '287', '332', '377', '422', '471', '18', '63', '108', '153', '198', '288', '333', '378', '423', '472', '19', '64']
['491', '492', '493', '494', '495', '496', '497', '498', '21', '66', '111', '156', '201', '246', '291', '336', '381', '426', '475']
['73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '112', '113', '114', '115', '116', '117', '118']
['93', '138', '183', '228', '273', '318', '363', '408', '457', '4', '49', '139', '184', '229', '274', '319', '364', '409', '458', '5', '50', '95', '140', '185']
