['124', '127', '140', '69', '95', '111', '112', '126', '130', '141', '142', '151', '152', '240', '61', '93', '115', '129', '153', '23', '29', '73', '86', '118', '131', '155']
['133', '143', '159', '178', '208', '216', '225', '227', '244', '249', '250', '258', '259', '264', '295', '298', '327', '333', '336', '349', '356', '382', '414', '420', '2', '15']
['156', '284', '13', '30', '54', '76', '77', '79', '105', '128', '161', '169', '172', '184', '192', '195', '201', '202', '212', '215', '226', '233', '248', '262', '270', '0']
['18', '28', '37', '6', '8', '67', '7', '45', '46', '92', '5', '14', '120', '35', '63', '106', '108', '146', '26', '41', '62', '70', '99', '114', '53', '102']
['206', '271', '296', '303', '353', '394', '16', '17', '33', '36', '51', '58', '60', '84', '97', '107', '134', '145', '177', '199', '213', '220', '254', '310', '316', '27']
['21', '32', '42', '49', '59', '83', '103', '138', '183', '188', '189', '257', '265', '299', '3', '34', '38', '47', '48', '65', '75', '94', '135', '144', '168', '181']
['22', '66', '96', '109', '110', '113', '117', '132', '163', '167', '173', '179', '196', '198', '211', '231', '245', '255', '288', '293', '378', '381', '423', '4', '11', '39']
['321', '364', '390', '415', '456', '459', '466', '468', '222', '323', '429', '434', '435', '460', '474', '485', '1', '171', '185', '204', '218', '221', '158', '187', '10', '31']
['488', '43', '139', '191', '193', '223', '230', '235', '273', '304', '19', '137', '162', '166', '238', '243', '268', '280', '301', '305', '338', '387', '9', '20', '40', '44']
['490', '55', '68', '74', '100', '101', '116', '136', '157', '164', '176', '200', '207', '256', '263', '285', '300', '320', '331', '345', '361', '396', '400', '12', '24', '56']
['491', '72', '78', '88', '89', '123', '160', '165', '214', '228', '232', '239', '275', '276', '282', '283', '289', '309', '311', '313', '315', '318', '324', '343', '363', '370']
['492', '371', '374', '397', '399', '410', '413', '442', '25', '64', '71', '80', '87', '91', '98', '122', '149', '150', '175', '180', '182', '190', '197', '219', '224', '242']
['493', '260', '272', '274', '277', '279', '287', '294', '297', '322', '332', '334', '342', '344', '350', '357', '367', '380', '383', '384', '385', '388', '389', '391', '401', '418']
['494', '436', '441', '446', '451', '464', '52', '125', '148', '154', '170', '194', '203', '209', '229', '234', '236', '241', '246', '247', '252', '253', '266', '286', '290', '292']
['495', '302', '306', '307', '308', '312', '314', '317', '326', '328', '329', '339', '341', '348', '352', '355', '358', '359', '362', '365', '373', '375', '377', '379', '386', '392']
['496', '398', '403', '404', '405', '411', '412', '419', '422', '425', '428', '432', '433', '440', '443', '444', '447', '449', '452', '457', '458', '461', '463', '470', '486', '489']
['497', '90', '186', '205', '217', '269', '281', '330', '340', '347', '354', '366', '368', '369', '372', '376', '393', '395', '402', '407', '408', '409', '416', '417', '421', '424']
['498', '426', '427', '430', '431', '437', '438', '439', '445', '450', '453', '454', '455', '462', '465', '467', '469', '471', '472', '473', '475', '476', '477', '478', '479', '480']
['499', '481', '482', '483', '484', '487']
['50', '57', '104', '119', '121', '147', '174', '210', '237', '291', '325', '335', '337', '346', '351', '360', '406', '448', '81', '82', '85', '251', '261', '267', '278', '319']
