['104', '105', '192', '201', '246', '291', '312', '315', '391', '143', '268', '297', '219', '330', '15', '77', '101', '109', '121', '174', '178', '229', '248', '286', '343', '369', '37', '69', '83', '91', '110', '122', '126', '130', '139', '145', '160', '169', '176', '197']
['208', '215', '216', '228', '259', '260', '272', '298', '318', '342', '345', '346', '368', '371', '384', '395', '408', '409', '411', '23', '28', '50', '51', '52', '53', '58', '59', '119', '136', '146', '147', '226', '231', '238', '239', '241', '261', '284', '296', '308']
['310', '320', '360', '381', '382', '383', '398', '410', '1', '14', '22', '35', '45', '60', '66', '100', '102', '117', '118', '127', '177', '186', '187', '195', '196', '218', '249', '276', '321', '322', '361', '362', '373', '413', '7', '12', '36', '46', '76', '85']
['380', '209', '217', '287', '295', '309', '385', '386', '399', '401', '412', '2', '4', '8', '9', '16', '18', '21', '38', '44', '61', '67', '70', '75', '120', '135', '149', '158', '167', '168', '179', '230', '251', '262', '263', '265', '274', '277', '323', '324']
['392', '325', '327', '333', '337', '348', '363', '364', '372', '374', '388', '29', '32', '39', '47', '54', '68', '84', '94', '95', '103', '112', '129', '132', '133', '141', '148', '154', '189', '190', '221', '232', '242', '253', '256', '264', '273', '278', '289', '290']
['393', '299', '314', '326', '335', '338', '377', '390', '397', '400', '403', '414', '415', '416', '5', '17', '30', '31', '40', '41', '48', '49', '55', '62', '78', '96', '113', '123', '131', '138', '140', '159', '170', '171', '172', '180', '191', '199', '202', '213']
['406', '222', '223', '233', '234', '244', '255', '266', '279', '302', '304', '311', '336', '349', '350', '351', '378', '389', '404', '417', '3', '6', '33', '56', '57', '63', '73', '87', '89', '97', '106', '114', '116', '125', '142', '150', '151', '152', '153', '161']
['407', '319', '356', '184', '204', '237', '270', '282', '355', '396', '42', '74', '90', '92', '155', '165', '185', '194', '271', '283', '294', '306', '307', '331', '357', '358', '359', '394', '0', '43', '82', '99', '108', '137', '156', '164', '166', '175', '205', '206']
['418', '162', '163', '173', '182', '193', '200', '212', '214', '225', '236', '243', '245', '247', '257', '267', '288', '292', '301', '303', '305', '316', '339', '365', '366', '402', '405', '13', '19', '20', '27', '34', '65', '72', '81', '98', '107', '115', '124', '134']
['419', '181', '183', '203', '224', '235', '258', '269', '280', '281', '293', '317', '328', '329', '340', '341', '353', '354', '367', '379']
['86', '93', '128', '188', '198', '207', '220', '227', '240', '250', '252', '285', '300', '313', '332', '344', '347', '370', '387', '11', '24', '64', '111', '144', '210', '254', '275', '334', '375', '10', '25', '26', '71', '79', '157', '211', '352', '376', '80', '88']
