['1', '4', '3', '15', '17', '52', '14', '23', '6', '47', '16', '25', '34', '46', '63', '2', '19', '22', '7', '33', '38']
['161', '145', '132', '137', '136', '182', '194', '162', '180', '191', '178', '181', '200', '171', '187', '217', '160', '183', '201', '186', '214']
['239', '231', '221', '248', '234', '246', '285', '254', '266', '273', '267', '314', '298', '317', '343', '330', '341', '365', '366', '370', '12']
['377', '9', '5', '35', '18', '32', '69', '30', '8', '21', '53', '11', '36', '27', '37', '79', '24', '70', '40', '92', '76']
['385', '87', '81', '91', '86', '66', '71', '89', '106', '45', '103', '78', '73', '83', '116', '58', '59', '67', '122', '104', '111']
['388', '75', '99', '125', '95', '88', '100', '134', '74', '77', '131', '84', '127', '135', '96', '110', '119', '142', '114', '117', '118']
['389', '163', '115', '120', '130', '146', '148', '94', '98', '105', '126', '140', '112', '123', '151', '121', '149', '156', '159', '85', '177']
['390', '141', '164', '133', '157', '158', '174', '155', '175', '139', '144', '152', '129', '153', '167', '196', '138', '154', '166', '176', '168']
['391', '169', '170', '165', '173', '188', '189', '185', '206', '172', '179', '184', '198', '193', '192', '203', '197', '190', '208', '230', '147']
['392', '204', '220', '205', '202', '218', '209', '210', '213', '222', '223', '229', '207', '212', '215', '240', '199', '232', '216', '237', '219']
['393', '241', '245', '211', '242', '224', '225', '235', '195', '250', '253', '233', '238', '251', '236', '244', '252', '226', '227', '256', '257']
['394', '255', '264', '263', '271', '262', '275', '228', '269', '258', '265', '249', '268', '278', '259', '272', '279', '260', '282', '247', '283']
['395', '261', '270', '284', '243', '274', '276', '281', '289', '308', '277', '287', '290', '300', '302', '306', '291', '295', '309', '288', '286']
['396', '292', '301', '280', '297', '293', '296', '307', '303', '304', '305', '312', '315', '324', '299', '294', '310', '319', '320', '318', '321']
['397', '311', '313', '328', '316', '322', '323', '326', '333', '337', '327', '331', '346', '335', '336', '340', '325', '332', '353', '334', '339']
['398', '329', '345', '354', '356', '352', '338', '348', '349', '355', '344', '342', '351', '357', '360', '347', '362', '350', '358', '359', '369']
['399', '361', '373', '367', '371', '374', '376', '364', '372', '375', '378', '379', '368', '382', '384', '386', '387', '381', '383', '363', '380']
['400']
['61', '20', '42', '29', '28', '31', '41', '43', '51', '13', '65', '10', '26', '39', '55', '60', '44', '48', '93', '108', '54']
['80', '64', '97', '57', '72', '49', '50', '56', '62', '82', '90', '124', '102', '68', '113', '109', '107', '150', '101', '128', '143']
