['107', '121', '129', '133', '152', '175', '208', '305', '307', '317', '326', '335', '389', '65', '86', '108', '131', '148', '156', '159', '167', '172', '184', '186', '202', '214', '231', '290', '315', '338', '372', '375', '392', '80', '89', '110', '116', '135', '143', '160', '176', '177', '190', '205', '215']
['117', '84', '27', '51', '2', '29', '12', '20', '111', '5', '8', '22', '46', '94', '139', '11', '60', '64', '17', '142', '157', '244', '10', '97', '101', '102', '179', '3', '14', '24', '99', '109', '137', '198', '4', '19', '25', '40', '54', '71', '78', '88', '95', '21', '32']
['125', '281', '286', '318', '363', '385', '407', '9', '76', '87', '92', '100', '132', '134', '153', '163', '171', '173', '232', '310', '316', '325', '351', '354', '374', '48', '53', '68', '70', '83', '90', '114', '115', '124', '136', '150', '166', '195', '285', '327', '352', '75', '85', '91', '106']
['149', '162', '165', '181', '189', '246', '311', '324', '330', '336', '373', '378', '424', '425', '441', '154', '168', '183', '201', '239', '242', '266', '313', '362', '365', '370', '394', '395', '409', '188', '210', '216', '227', '240', '251', '261', '323', '343', '347', '357', '397', '400', '403', '405', '434']
['219', '274', '288', '309', '312', '319', '361', '366', '415', '28', '93', '128', '158', '164', '191', '199', '295', '304', '306', '333', '349', '353', '381', '422', '0', '147', '161', '178', '187', '193', '200', '220', '222', '223', '228', '238', '331', '332', '346', '355', '360', '77', '126', '140', '144']
['34', '45', '66', '73', '82', '146', '151', '174', '197', '230', '233', '1', '13', '52', '72', '170', '204', '257', '275', '358', '6', '18', '26', '43', '56', '57', '61', '67', '138', '180', '192', '213', '267', '269', '7', '35', '41', '50', '59', '62', '105', '127', '287', '31', '33']
['36', '37', '96', '104', '113', '130', '49', '58', '63', '69', '74', '79', '112', '120', '123', '141', '169', '185', '196', '279', '321', '339', '15', '16', '23', '39', '42', '44', '55', '81', '98', '118', '145', '155', '182', '276', '277', '289', '329', '367', '30', '38', '47', '103', '119']
['386', '390', '396', '401', '420', '423', '459', '463', '468', '207', '243', '245', '248', '255', '282', '283', '293', '340', '342', '413', '429', '217', '225', '234', '253', '270', '344', '359', '384', '387', '393', '399', '426', '427', '438', '449', '479', '236', '259', '263', '271', '292', '364', '383', '402']
['412', '436', '447', '450', '457', '472', '473', '474', '476', '485', '256', '268', '382', '439', '451', '475', '260', '278', '298', '303', '308', '406', '442', '477', '481', '482', '484', '265', '301', '410', '414', '433', '462', '480', '497', '483', '490', '492', '122', '369', '398', '194', '432', '262', '388']
['453', '206', '212', '226', '229', '258', '294', '314', '341', '350', '356', '376', '404', '419', '437', '440', '445', '446', '203', '211', '221', '237', '252', '273', '320', '334', '345', '348', '368', '371', '377', '379', '418', '435', '444', '464', '209', '218', '235', '247', '291', '322', '328', '337', '380']
['498', '461', '241', '250', '302', '391', '421', '428', '478', '224', '254', '272', '297', '452', '249', '284', '299', '431', '470', '471', '494', '264', '408', '430', '443', '448', '486', '493', '495', '280', '411', '417', '454', '456', '460', '467', '487', '496', '296', '300', '416', '455', '458', '489', '465']
['499', '466', '469', '488', '491']
